time from commit (minutes),adoption commits,non-adopt commits (all),non-adopt import commits (added lib)
-360.0,3.731057112120339e-05,0.00042295761979623485,7.690477997236192e-05
-355.0,0.02170646115451344,0.05313169126949481,0.034771169146618965
-350.0,0.023211320856401974,0.043665013072968134,0.03563549720471542
-345.0,0.02572149316905627,0.043631214967555156,0.03449689811716001
-340.0,0.02594535659578349,0.044910302127788605,0.03209923847253496
-335.0,0.02764091477229151,0.044294395830255004,0.03488516517002932
-330.0,0.0286109896214428,0.04851851727069817,0.0317922999259196
-325.0,0.028631717716510133,0.058344728161356864,0.0314969311249638
-320.0,0.03043091636835483,0.0693280428602759,0.03417362581196645
-315.0,0.03203527092656658,0.049264696012513425,0.03468167376107591
-310.0,0.03247885216100755,0.05072630363757992,0.036731900749277145
-305.0,0.03329139348764709,0.050565334812749135,0.037806525949067936
-300.0,0.03384897924495841,0.05369615171670043,0.03792290397893762
-295.0,0.034317434193480184,0.061675071538877475,0.03809338758409759
-290.0,0.03645864641393591,0.052759109939728675,0.03986594067646942
-285.0,0.03718205693178591,0.056809374353751614,0.041558526409135474
-280.0,0.038164568637977604,0.05523118465621631,0.037856888371350726
-275.0,0.03921341024838476,0.05641513442795343,0.039770320131459536
-270.0,0.04087787628229178,0.05845729938270862,0.04385818350229132
-265.0,0.04152459284839264,0.057900218901558366,0.04268725718421655
-260.0,0.04341706792804034,0.05857382797716253,0.04684045558936114
-255.0,0.044617224632439056,0.06106970041027798,0.04375847951763689
-250.0,0.045628755671725016,0.06209936610904606,0.05023957880681213
-245.0,0.0473098041816859,0.06497370245356597,0.05089156800339198
-240.0,0.04741137184751584,0.06728470138919304,0.05044238964249145
-235.0,0.04903438169128819,0.07087435966093442,0.05840509694936433
-230.0,0.04930591973667028,0.06973083926845712,0.051836203707831256
-225.0,0.05035476134707744,0.06996731905031817,0.052521540994841596
-220.0,0.05186376666797945,0.07064900330617131,0.05177529239980005
-215.0,0.05332509737022658,0.07055921371916438,0.05150068108370405
-210.0,0.05454805497919936,0.07747140757825184,0.05602649335641384
-205.0,0.05672657777077629,0.08004771094576779,0.06279207227415942
-200.0,0.05816303475894262,0.0824917097044361,0.05882841352584937
-195.0,0.06092401702191167,0.08144321974442535,0.06531563797449143
-190.0,0.06370572737994805,0.08475147670179477,0.06899311566104592
