time(%-of-session),avg_commits
-100,2.445398773006135
-95,1.601635991820041
-90,0.9378323108384458
-85,1.0323108384458077
-80,0.9770961145194274
-75,1.0822085889570552
-70,0.885480572597137
-65,0.983640081799591
-60,0.8605316973415132
-55,0.9922290388548057
-50,0.8695296523517383
-45,0.8486707566462167
-40,0.8736196319018404
-35,0.8376278118609407
-30,0.9231083844580777
-25,0.9775051124744376
-20,0.7652351738241309
-15,0.9607361963190184
-10,0.918200408997955
-5,0.8826175869120655
0,4.248286367098248
5,0.98018249215854
10,1.0175363558597093
15,1.0547476475620188
20,1.0420587396635301
25,0.9565155403478757
30,0.9726261762189906
35,0.9486740804106074
40,0.8494439692044482
45,0.9124607927003137
50,0.8381807812945538
55,0.951240376390077
60,1.0275163957798688
65,0.9225834046193327
70,0.8890789848873681
75,0.9204448246364414
80,1.0085543199315654
85,1.0169660678642714
90,1.0654405474764757
95,1.3447390932420873
100,3.077986883376105
