time(minutes),avg_commits
0,3.7303108326398746
10,0.7791102097803593
20,0.6064802758595917
30,0.5293690078144178
40,0.4853181567467282
50,0.4427390016864999
60,0.4168472128496062
70,0.3874877588384734
80,0.38609053425274364
90,0.37597696421225835
100,0.3604462142357589
110,0.35394280100070596
120,0.3521640503882472
130,0.3524957780792337
140,0.3379053569709095
150,0.3492031411342331
160,0.3430769056149763
170,0.34274122900938714
180,0.3470738709263536
190,0.3386574743012839
200,0.3348076072534277
210,0.33803186832428644
220,0.350099615062158
230,0.3524545619225892
240,0.3520388628314349
250,0.3577317653563988
260,0.351510212397494
270,0.3652575992433597
280,0.34876583376713516
290,0.358433920519786
300,0.3663533116454612
310,0.3759192001388149
320,0.3985409950685881
330,0.3962131163297344
340,0.3929542177001854
350,0.3923435075012933
360,0.40849818213048583
370,0.41002752361823996
380,0.4048250942038517
390,0.42031973583538035
400,0.42277733011012625
410,0.4310024860814454
420,0.4437461749956612
430,0.43829304127153734
440,0.4357581506815118
450,0.4606484384798696
460,0.45503591205658206
470,0.4749050305053528
480,0.472468185997
490,0.4624041506122916
500,0.4859565943238731
510,0.5141732283464567
520,0.47817839624179376
530,0.4938138363599393
540,0.43864842961811357
550,0.40320962888665995
560,0.41690110365721705
570,0.4184135122907555
580,0.3968135179313469
590,0.40280602288367123
600,0.4069901914592881
610,0.4135131508319914
620,0.4159542163046017
630,0.4306849981749605
640,0.4342091888595243
650,0.39214592958419625
660,0.4432258779217902
670,0.4132753623188406
680,0.42961819117691585
690,0.45399181653820536
700,0.4610216841825196
710,0.4494923060818591
720,0.4664320023466432
730,0.454868349934368
740,0.4595725662278563
750,0.4846384253316217
760,0.4949485837993866
770,0.4629471080669711
780,0.5230969420949902
790,0.5080270384452894
800,0.5444159607668302
810,0.472783917234893
820,0.5095944854995963
830,0.46854748969038423
840,0.4244430650389682
850,0.4549793881536125
860,0.45788353352592365
870,0.4300398406374502
880,0.3809801148182045
890,0.35837950138504154
900,0.37419122933141624
910,0.37904425436965417
920,0.3545541706615532
930,0.3062438057482656
940,0.2977791361043195
950,0.30506527415143603
960,0.29122468659594986
970,0.33844973138910206
980,0.29283629014147766
990,0.23848269539307815
1000,0.22008172796263864
1010,0.2305767397521449
1020,0.23730871994170513
1030,0.23294754986456537
1040,0.23269734380845492
1050,0.19667343829355002
1060,0.2079309900862624
1070,0.2113630440448267
1080,0.20698320327998943
1090,0.23272044020936786
1100,0.2260964314900572
1110,0.2144039735099338
1120,0.20050300405197707
1130,0.22832083745932946
1140,0.22689556509299
1150,0.23674297305128947
1160,0.25062325854230827
1170,0.2742246624128209
1180,0.28015681544028953
1190,0.2538156288156288
1200,0.21708185053380782
1210,0.22490211433046203
1220,0.2714037031175819
1230,0.2683475188694395
1240,0.24772283669486012
1250,0.2528395061728395
1260,0.250501002004008
1270,0.2930303544175004
1280,0.3098349381017882
1290,0.26546975771309045
1300,0.2875816993464052
1310,0.2943598925693823
1320,0.3047186932849365
1330,0.35238970588235297
1340,0.3456928838951311
1350,0.3173186479301177
1360,0.396505376344086
1370,0.41116948822728155
1380,0.4065024630541872
1390,0.3336665333866453
1400,0.3424629742341246
1410,0.37178696278017687
1420,0.4483621948675151
1430,0.4537904599659284
1440,0.4503469210754553
1450,0.4520911706129675
1460,0.4686868686868687
1470,0.4547738693467337
1480,0.4389224338132838
1490,0.44549538898084656
1500,0.3933558016369764
1510,0.4105006105006105
1520,0.4055857637172516
1530,0.32398597896845266
1540,0.37969543147208124
1550,0.3256113256113256
1560,0.4585404132879937
1570,0.39553429027113235
1580,0.37648327939590076
1590,0.4052502050861362
1600,0.40411912051210686
1610,0.3404614518851998
1620,0.363506158693784
1630,0.3776487663280116
1640,0.44
1650,0.40667859272510437
1660,0.3391671695835848
1670,0.3428134556574923
1680,0.43844492440604754
1690,0.3103448275862069
1700,0.33661167512690354
1710,0.4340836012861736
1720,0.4136023429873088
1730,0.38866930171277997
1740,0.3680509042196919
1750,0.37172952769283046
1760,0.356551724137931
1770,0.38966480446927376
1780,0.42226148409893993
1790,0.3261571582346609
1800,0.3069090909090909
1810,0.387785136129507
1820,0.46909903201787045
1830,0.4533081285444234
1840,0.4327956989247312
1850,0.4637964774951076
1860,0.30464101547005157
1870,0.36712439418416803
1880,0.42557565789473684
1890,0.3635985006247397
1900,0.36670891423743135
1910,0.3409188492915414
1920,0.4356955380577428
1930,0.4222222222222222
1940,0.5833333333333334
1950,0.4315448658649399
1960,0.4297832233741753
1970,0.4436990896023
1980,0.3977604673807206
1990,0.3656605640771895
2000,0.3080402010050251
2010,0.39541984732824426
2020,0.46642561983471076
2030,0.3503957783641161
2040,0.3302801724137931
2050,0.41066520065970313
2060,0.32940516273849607
2070,0.43940264215967834
2080,0.4241359109548916
2090,0.458133971291866
2100,0.4610705596107056
2110,0.44981412639405205
2120,0.5135818066961465
2130,0.3710201429499675
2140,0.33488992661774514
2150,0.4004078857919782
2160,0.46309192200557103
2170,0.5110320284697509
2180,0.3901018922852984
2190,0.4448556624722428
2200,0.424357034795764
2210,0.512006196746708
2220,0.5370517928286852
2230,0.45934959349593496
2240,0.8534768211920529
2250,0.44961896697713805
2260,0.4244791666666667
2270,0.481810115350488
2280,0.5790909090909091
2290,0.49304911955514363
2300,0.45265151515151514
2310,0.46116504854368934
2320,0.3445544554455445
