time(%-of-session),avg_commits
0,2.9379088550589847
1,0.20249198397645798
2,0.1556001598952176
3,0.1329392653325055
4,0.11772540547896272
5,0.10906044549529245
6,0.10247582435340245
7,0.09599836702756491
8,0.09158934145283516
9,0.09209114027403319
10,0.08754773467599956
11,0.08663939375898347
12,0.08243789176454579
13,0.0809937317672674
14,0.07709671109145497
15,0.07523410190768602
16,0.07605909318999464
17,0.07415906172125501
18,0.06966668651181779
19,0.0736963861979809
20,0.06947447204810464
21,0.07021951572161222
22,0.06992694149365948
23,0.06810345560781446
24,0.06626636161834372
25,0.06683449994471707
26,0.0677224287062946
27,0.06803881711559233
28,0.06678346955612068
29,0.0658257992634614
30,0.06707264175816699
31,0.0636076783724708
32,0.062080168740484956
33,0.06521853763916412
34,0.06447859700451619
35,0.06058327734165696
36,0.06556724529457292
37,0.06281330532332004
38,0.061129302499638535
39,0.06412478631024775
40,0.06215161128451993
41,0.06280309924560075
42,0.06374546042168111
43,0.058553968888473085
44,0.06047271149969807
45,0.05968684351531337
46,0.061709347916684386
47,0.05925138419929068
48,0.05954055640133699
49,0.059217363940226406
50,0.06735671092135366
51,0.06092177891934647
52,0.055488743546782106
53,0.060744873572212255
54,0.058752987403999084
55,0.061838624901128625
56,0.05867303979519804
57,0.06149672129753268
58,0.06202573632598212
59,0.05905746872262432
60,0.06031281628209599
61,0.0596783384505473
62,0.061324918989258105
63,0.0589792221267765
64,0.061035746787211784
65,0.06002874711890931
66,0.06202233430007569
67,0.058249487569847845
68,0.06143208280531056
69,0.0620104272094032
70,0.06120414706957993
71,0.06225367206171275
72,0.06199681910577749
73,0.06154264864726945
74,0.06374205839577468
75,0.06496338569618208
76,0.0643067946962416
77,0.06663378041623787
78,0.06754382234620716
79,0.06758464665708429
80,0.07092373508424267
81,0.06907983704295909
82,0.06836371058965614
83,0.07110064043137689
84,0.07389880673941332
85,0.0741573607083018
86,0.077001454366075
87,0.08056677751601078
88,0.08024868809375983
89,0.08344659244580148
90,0.08586203083936485
91,0.08966549580275054
92,0.09540471350689335
93,0.10077651241314202
94,0.10888694217406465
95,0.11452409910101466
96,0.129057553773272
97,0.14887095265230443
98,0.19155276967434107
99,0.3416688638083979
100,2.6892895719400904
