time(minutes),avg_commits
-52110,1.0
-52100,6.0
-52090,0.0
-52080,6.0
-52070,0.0
-52060,6.0
-52050,0.0
-52040,0.0
-52030,6.0
-52020,0.0
-52010,0.0
-52000,0.0
-51990,0.0
-51980,1.0
-51970,0.0
-51960,0.0
-51950,6.0
-51940,0.0
-51930,0.0
-51920,0.0
-51910,0.0
-51900,0.0
-51890,0.0
-51880,0.0
-51870,0.0
-51860,0.0
-51850,1.0
-51840,0.0
-51830,0.0
-51820,24.0
-51810,0.0
-51800,0.0
-51790,0.0
-51780,0.0
-51770,0.0
-51760,0.0
-51750,0.0
-51740,0.0
-51730,0.0
-51720,0.0
-51710,0.0
-51700,0.0
-51690,0.0
-51680,0.0
-51670,0.0
-51660,0.0
-51650,0.0
-51640,0.0
-51630,0.0
-51620,0.0
-51610,0.0
-51600,0.0
-51590,0.0
-51580,0.0
-51570,0.0
-51560,0.0
-51550,0.0
-51540,0.0
-51530,0.0
-51520,0.0
-51510,0.0
-51500,0.0
-51490,0.0
-51480,0.0
-51470,0.0
-51460,6.0
-51450,0.0
-51440,0.0
-51430,1.0
-51420,0.0
-51410,0.0
-51400,0.0
-51390,0.0
-51380,0.0
-51370,0.0
-51360,0.0
-51350,0.0
-51340,0.0
-51330,6.0
-51320,0.0
-51310,0.0
-51300,0.0
-51290,0.0
-51280,0.0
-51270,0.0
-51260,0.0
-51250,0.0
-51240,0.0
-51230,0.0
-51220,0.0
-51210,0.0
-51200,0.0
-51190,0.0
-51180,0.0
-51170,0.0
-51160,1.0
-51150,0.0
-51140,1.0
-51130,0.0
-51120,1.0
-51110,0.0
-51100,1.0
-51090,0.0
-51080,0.0
-51070,0.0
-51060,0.0
-51050,0.0
-51040,0.0
-51030,0.0
-51020,2.0
-51010,0.0
-51000,1.0
-50990,0.0
-50980,0.0
-50970,0.0
-50960,0.0
-50950,0.0
-50940,1.0
-50930,0.0
-50920,0.0
-50910,0.0
-50900,0.0
-50890,0.0
-50880,7.0
-50870,1.0
-50860,0.0
-50850,1.0
-50840,0.0
-50830,0.0
-50820,0.0
-50810,0.0
-50800,0.0
-50790,0.0
-50780,0.0
-50770,0.0
-50760,1.0
-50750,1.0
-50740,0.0
-50730,0.0
-50720,0.0
-50710,0.0
-50700,1.0
-50690,6.0
-50680,6.0
-50670,0.0
-50660,0.0
-50650,0.0
-50640,0.0
-50630,0.0
-50620,0.0
-50610,0.0
-50600,0.0
-50590,1.0
-50580,1.0
-50570,0.0
-50560,1.0
-50550,1.0
-50540,0.0
-50530,0.0
-50520,0.0
-50510,0.0
-50500,0.0
-50490,0.0
-50480,0.0
-50470,0.0
-50460,0.0
-50450,0.0
-50440,1.0
-50430,0.0
-50420,0.0
-50410,12.0
-50400,6.0
-50390,0.0
-50380,0.0
-50370,1.0
-50360,0.0
-50350,0.0
-50340,1.0
-50330,0.0
-50320,0.0
-50310,0.0
-50300,0.0
-50290,0.0
-50280,0.0
-50270,0.0
-50260,6.0
-50250,6.0
-50240,0.0
-50230,0.0
-50220,0.0
-50210,6.0
-50200,12.0
-50190,0.0
-50180,0.0
-50170,0.0
-50160,1.0
-50150,6.0
-50140,0.0
-50130,3.0
-50120,1.0
-50110,6.0
-50100,0.0
-50090,6.0
-50080,7.0
-50070,0.0
-50060,0.0
-50050,0.0
-50040,0.0
-50030,0.0
-50020,0.0
-50010,0.0
-50000,0.0
-49990,0.0
-49980,0.0
-49970,0.0
-49960,0.0
-49950,0.0
-49940,0.0
-49930,0.0
-49920,1.0
-49910,0.0
-49900,0.0
-49890,1.0
-49880,0.0
-49870,0.0
-49860,0.0
-49850,1.0
-49840,0.0
-49830,0.0
-49820,0.0
-49810,2.0
-49800,0.0
-49790,0.0
-49780,0.0
-49770,6.0
-49760,0.0
-49750,0.0
-49740,0.0
-49730,0.0
-49720,0.0
-49710,0.0
-49700,1.0
-49690,0.0
-49680,0.0
-49670,0.0
-49660,0.0
-49650,0.0
-49640,0.0
-49630,0.0
-49620,0.0
-49610,0.0
-49600,1.0
-49590,0.0
-49580,0.0
-49570,0.0
-49560,1.0
-49550,0.0
-49540,0.0
-49530,0.0
-49520,1.0
-49510,0.0
-49500,1.0
-49490,0.0
-49480,0.0
-49470,0.0
-49460,0.0
-49450,0.0
-49440,0.0
-49430,0.0
-49420,0.0
-49410,0.0
-49400,0.0
-49390,0.0
