time(%-of-session),avg_commits
-100,2.445398773006135
-99,0.4331288343558282
-98,0.40572597137014316
-97,0.28957055214723926
-96,0.2196319018404908
-95,0.25357873210633947
-94,0.22372188139059304
-93,0.20204498977505111
-92,0.18364008179959102
-91,0.15501022494887526
-90,0.17341513292433539
-89,0.20286298568507158
-88,0.19059304703476482
-87,0.23844580777096114
-86,0.20081799591002045
-85,0.19959100204498978
-84,0.2114519427402863
-83,0.17586912065439672
-82,0.20613496932515338
-81,0.18854805725971371
-80,0.1950920245398773
-79,0.1705521472392638
-78,0.29611451942740286
-77,0.17668711656441718
-76,0.18650306748466258
-75,0.2523517382413088
-74,0.16605316973415132
-73,0.1918200408997955
-72,0.1640081799591002
-71,0.20572597137014315
-70,0.15787321063394683
-69,0.1619631901840491
-68,0.20572597137014315
-67,0.20899795501022495
-66,0.2314928425357873
-65,0.1754601226993865
-64,0.16319018404907976
-63,0.19631901840490798
-62,0.18077709611451942
-61,0.1492842535787321
-60,0.17096114519427402
-59,0.19386503067484662
-58,0.23231083844580777
-57,0.150920245398773
-56,0.24376278118609407
-55,0.17137014314928425
-54,0.17750511247443762
-53,0.17832310838445808
-52,0.13006134969325153
-51,0.2065439672801636
-50,0.17709611451942742
-49,0.18527607361963191
-48,0.15296523517382413
-47,0.14355828220858896
-46,0.17832310838445808
-45,0.18854805725971371
-44,0.2278118609406953
-43,0.1668711656441718
-42,0.2134969325153374
-41,0.13333333333333333
-40,0.13210633946830266
-39,0.14805725971370143
-38,0.2229038854805726
-37,0.1591002044989775
-36,0.16646216768916156
-35,0.1411042944785276
-34,0.16809815950920245
-33,0.18445807770961145
-32,0.16932515337423312
-31,0.20286298568507158
-30,0.1983640081799591
-29,0.1652351738241309
-28,0.167280163599182
-27,0.21431492842535788
-26,0.16809815950920245
-25,0.2625766871165644
-24,0.1586912065439673
-23,0.13169734151329243
-22,0.15501022494887526
-21,0.14642126789366053
-20,0.17341513292433539
-19,0.17914110429447852
-18,0.21390593047034764
-17,0.18118609406952965
-16,0.21390593047034764
-15,0.17259713701431492
-14,0.2098159509202454
-13,0.17259713701431492
-12,0.216359918200409
-11,0.1439672801635992
-10,0.1754601226993865
-9,0.1439672801635992
-8,0.17177914110429449
-7,0.21758691206543967
-6,0.19754601226993865
-5,0.15173824130879346
-4,0.1685071574642127
-3,0.13987730061349693
-2,0.18486707566462168
-1,0.15010224948875256
0,3.5584920030464584
1,0.3032506415739949
2,0.2921300256629598
3,0.22811519817507842
4,0.2435129740518962
5,0.21000855431993157
6,0.2296834901625321
7,0.20530367835757057
8,0.1515540347875677
9,0.18363273453093812
10,0.1834901625320787
11,0.25777017393783863
12,0.18676931850584544
13,0.20487596236099231
14,0.18463073852295409
15,0.21528371827773024
16,0.2060165383518677
17,0.21000855431993157
18,0.19703450242372397
19,0.22640433418876532
20,0.19974337040205303
21,0.22084402623324778
22,0.2214143142286855
23,0.1900484744796122
24,0.21000855431993157
25,0.16823495865412033
26,0.18334759053321928
27,0.21998859424009123
28,0.2055888223552894
29,0.1793555745651554
30,0.18334759053321928
31,0.19560878243512975
32,0.23068149415454806
33,0.20059880239520958
34,0.16238950670088395
35,0.17678927858568577
36,0.20644425434844596
37,0.20359281437125748
38,0.19703450242372397
39,0.16481323068149414
40,0.19617907043056743
41,0.1639577986883376
42,0.1662389506700884
43,0.15925292272597663
44,0.16381522668947818
45,0.1964642144282863
46,0.18249215854006273
47,0.19261477045908185
48,0.18120901055032793
49,0.1596806387225549
50,0.17493584260051326
51,0.16010835471913315
52,0.15169660678642716
53,0.1568291987453664
54,0.19461077844311378
55,0.18662674650698602
56,0.21300256629597947
57,0.1823495865412033
58,0.18120901055032793
59,0.18805246649558027
60,0.1834901625320787
61,0.2209865982321072
62,0.22412318220701455
63,0.22070145423438836
64,0.17821499857428
65,0.21685201026518391
66,0.1484174508126604
67,0.16367265469061876
68,0.2084402623324779
69,0.1852010265183918
70,0.17037353863701168
71,0.17179925862560594
72,0.19532363843741088
73,0.16937553464499572
74,0.1822070145423439
75,0.1609637867122897
76,0.16310236669518108
77,0.19090390647276875
78,0.1900484744796122
79,0.2154262902765897
80,0.22583404619332764
81,0.23738237810094098
82,0.14627887082976904
83,0.1722269746221842
84,0.2268320501853436
85,0.196036498431708
86,0.2025948103792415
87,0.19746221842030226
88,0.1775021385799829
89,0.24337040205303678
90,0.25192472198460225
91,0.2244083262047334
92,0.17721699458226403
93,0.2071571143427431
94,0.20473339036213287
95,0.20031365839749074
96,0.2399486740804106
97,0.2422298260621614
98,0.2643284858853721
99,0.3979184488166524
100,3.077986883376105
