test#,filter_repeat,downsample_ratio,training_start_year,training_start_month,training_end_year,training_end_month,training month count,training days,testing_year,testing_month_first,testing_month_last,testing month count,features,penalty,fit_intercept,loss,shuffle,alpha,num_iter,true_pos,true_neg,false_pos,false_neg,precision,recall,f1-score,AUROC,,
6,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.01,50,1117,2741332,171514,829,0.006470449,0.573997945,0.012796646,0.757558006,,
6,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.01,50,1264,2533393,379453,682,0.003320051,0.649537513,0.006606335,0.759634348,,
6,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.01,50,1234,2749685,163161,712,0.007506311,0.634121274,0.014836991,0.789053492,,
6,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.01,50,1314,2738118,174728,632,0.007464128,0.675231244,0.01476504,0.807622962,,0.781647754
7,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.01,50,749,2771892,140954,1197,0.005285703,0.384892086,0.010428197,0.668250806,,
7,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.01,50,755,2768958,143888,1191,0.005219748,0.387975334,0.010300909,0.669288799,,
7,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.01,50,758,2768101,144745,1188,0.005209515,0.389516958,0.010281521,0.669912504,,
7,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.01,50,741,2769599,143247,1205,0.005146262,0.380781089,0.010155276,0.665801706,,
7,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.01,50,746,2773776,139070,1200,0.005335584,0.383350462,0.010524682,0.667803389,,0.668211441
8,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.01,50,782,2767505,145341,1164,0.005351656,0.401849949,0.010562643,0.675976693,,
8,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.01,50,755,2802441,110405,1191,0.006792012,0.387975334,0.013350309,0.67503627,,
8,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.01,50,788,2764560,148286,1158,0.005285965,0.404933196,0.010435704,0.677012798,,
8,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.01,50,764,2764711,148135,1182,0.005130995,0.392600206,0.010129603,0.670872222,,
8,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.01,50,776,2770167,142679,1170,0.005409362,0.398766701,0.010673929,0.674892011,,0.674757999
9,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.001,50,1668,2632435,280411,278,0.005913237,0.857142857,0.011745445,0.880437919,,
9,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.001,50,1628,2663600,249246,318,0.006489313,0.836587873,0.012878728,0.875510006,,
9,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.001,50,1611,2702209,210637,335,0.007590178,0.827852004,0.015042438,0.877769439,,
9,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.001,50,1652,2678806,234040,294,0.007009148,0.848920863,0.0139035,0.884286663,,
9,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.001,50,1700,2562514,350332,246,0.004829106,0.873586845,0.009605117,0.876657734,,0.878932352
10,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.001,50,1549,2714452,198394,397,0.007747208,0.795991778,0.015345066,0.863940879,,
10,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.001,50,1586,2644092,268754,360,0.005866686,0.815005139,0.011649516,0.861370024,,
10,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.001,50,1585,2711007,201839,361,0.007791608,0.814491264,0.015435555,0.872599276,,
10,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.001,50,1519,2654894,257952,427,0.005854219,0.78057554,0.011621279,0.846009425,,
10,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.001,50,1713,2660636,252210,233,0.00674614,0.880267215,0.013389664,0.896840896,,0.8681521
11,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.001,50,1673,2560876,351970,273,0.00473076,0.85971223,0.00940974,0.869439258,,
11,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.001,50,1509,2607402,305444,437,0.004916062,0.775436793,0.009770184,0.835287887,,
11,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.001,50,1547,2714071,198775,399,0.007722567,0.794964029,0.015296537,0.863361604,,
11,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.001,50,1745,2630196,282650,201,0.006135832,0.896711202,0.012188265,0.89983776,,
11,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.001,50,1586,2623234,289612,360,0.005446466,0.815005139,0.010820621,0.857789677,,0.865143237
12,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.0001,50,1768,2646169,266677,178,0.006586079,0.908530319,0.013077358,0.908489138,,
12,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.0001,50,1746,2667432,245414,200,0.00706425,0.897225077,0.014018129,0.906486384,,
12,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.0001,50,1746,2653568,259278,200,0.00668904,0.897225077,0.013279081,0.904106581,,
12,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.0001,50,1643,2697504,215342,303,0.007571952,0.844295992,0.015009295,0.885183803,,
12,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.0001,50,1719,2660392,252454,227,0.00676311,0.883350462,0.013423448,0.898340637,,0.900521309
13,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.0001,50,1743,2649201,263645,203,0.006567742,0.895683453,0.013039868,0.902586159,,
13,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.0001,50,1680,2714061,198785,266,0.008380515,0.863309353,0.016599888,0.89753255,,
13,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.0001,50,1782,2597746,315100,164,0.005623544,0.915724563,0.011178441,0.903774287,,
13,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.0001,50,1623,2689984,222862,323,0.007229882,0.834018499,0.014335493,0.878754224,,
13,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.0001,50,1667,2679629,233217,279,0.00709712,0.856628983,0.014077608,0.888281994,,0.894185842
14,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.0001,50,1659,2692479,220367,287,0.007472098,0.852517986,0.014814352,0.888432242,,
14,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.0001,50,1782,2599829,313017,164,0.005660755,0.915724563,0.011251953,0.904131841,,
14,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.0001,50,1712,2675037,237809,234,0.007147599,0.87975334,0.014179991,0.89905594,,
14,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.0001,50,1558,2717000,195846,388,0.007892444,0.80061665,0.0156308,0.866690688,,
14,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,0.0001,50,1701,2687070,225776,245,0.007477679,0.874100719,0.014828505,0.898295135,,0.891321169
15,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1.00E-05,50,1798,2640908,271938,148,0.006568372,0.923946557,0.013044014,0.915294189,,
15,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1.00E-05,50,1825,2473889,438957,121,0.004140369,0.937821172,0.00824434,0.893562112,,
15,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1.00E-05,50,1753,2660999,251847,193,0.006912461,0.900822199,0.013719643,0.907180699,,
15,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1.00E-05,50,1749,2660677,252169,197,0.00688805,0.898766701,0.013671325,0.906097677,,
15,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1.00E-05,50,1719,2701855,210991,227,0.008081425,0.883350462,0.016016324,0.905457903,,0.905518516
16,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1.00E-05,50,1426,2766177,146669,520,0.009628954,0.7327852,0.019008138,0.841216364,,
16,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1.00E-05,50,1707,2691981,220865,239,0.007669428,0.877183967,0.015205908,0.900679749,,
16,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1.00E-05,50,1704,2710433,202413,242,0.008348153,0.875642343,0.016538631,0.903076286,,
16,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1.00E-05,50,1669,2645347,267499,277,0.006200588,0.857656732,0.012312164,0.882911246,,
16,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1.00E-05,50,1625,2728735,184111,321,0.008748977,0.835046249,0.017316525,0.88591984,,0.882760697
17,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1.00E-05,50,1703,2663881,248965,243,0.006793847,0.875128469,0.013483022,0.894828539,,
17,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1.00E-05,50,1758,2634334,278512,188,0.006272523,0.903391572,0.012458542,0.903888247,,
17,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1.00E-05,50,1795,2561517,351329,151,0.0050832,0.922404933,0.010110682,0.90089564,,
17,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1.00E-05,50,1674,2686212,226634,272,0.0073322,0.860226105,0.014540464,0.89121055,,
17,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1.00E-05,50,1715,2684727,228119,231,0.007461907,0.881294964,0.014798516,0.901490074,,0.89846261
