user,number of commits,number of adoption commits,unique libraries adopted,unique committing repos,unique adoption repos
32571,14,0,0,14,0
32572,16,0,0,15,0
32573,34,0,0,15,0
32574,353,2,5,34,1
32575,33,1,2,15,1
32576,14,0,0,14,0
32577,18,0,0,15,0
32578,17,1,1,17,1
32579,129,0,0,17,0
32580,169,0,0,38,0
32581,164,1,4,18,1
32582,70,0,0,14,0
32583,15,0,0,15,0
32584,14,0,0,14,0
32585,18,0,0,18,0
32586,1,0,0,1,0
32587,117,1,1,3,1
32588,213,5,34,12,1
32589,1,0,0,1,0
32590,415,0,0,24,0
32591,8,0,0,6,0
32592,22,0,0,1,0
32593,25,1,1,8,1
32594,57,0,0,5,0
32595,170,0,0,7,0
32596,1,0,0,1,0
32597,14,0,0,2,0
32598,9,0,0,3,0
32599,36,0,0,3,0
32600,39,0,0,3,0
32601,1,0,0,1,0
32602,47,0,0,4,0
32603,3,0,0,2,0
32604,470,1,3,10,1
32605,2,0,0,2,0
32606,1136,1,1,3,1
32607,2,0,0,2,0
32608,209,0,0,4,0
32609,9,0,0,3,0
32610,3,0,0,3,0
32611,144,0,0,4,0
32612,3,1,3,2,1
32613,269,0,0,13,0
32614,510,0,0,17,0
32615,2,0,0,2,0
32616,6,1,1,2,1
32617,1,0,0,1,0
32618,4,0,0,2,0
32619,32,1,1,8,1
32620,53,1,9,4,1
32621,74,0,0,4,0
32622,47,0,0,6,0
32623,250,1,1,13,1
32624,8,0,0,4,0
32625,68,0,0,7,0
32626,34,0,0,1,0
32627,86,1,2,1,1
32628,86,0,0,2,0
32629,17,0,0,2,0
32630,224,5,15,20,3
32631,3,0,0,2,0
32632,67,0,0,6,0
32633,102,0,0,10,0
32634,2,0,0,2,0
32635,633,0,0,4,0
32636,1,0,0,1,0
32637,1,0,0,1,0
32638,2,0,0,1,0
32639,3,0,0,1,0
32640,9,1,1,5,1
32641,2,0,0,1,0
32642,13,0,0,2,0
32643,89,0,0,10,0
32644,10,0,0,3,0
32645,58,0,0,8,0
32646,142,0,0,4,0
32647,6,0,0,2,0
32648,1,0,0,1,0
32649,94,1,2,10,1
32650,4,0,0,1,0
32651,20,0,0,7,0
32652,72,0,0,5,0
32653,61,0,0,3,0
32654,7,0,0,1,0
32655,193,0,0,10,0
32656,13,1,1,3,1
32657,1,1,1,1,1
32658,5,1,1,1,1
32659,131,1,2,8,1
32660,61,0,0,13,0
32661,102,2,4,8,1
32662,83,1,1,8,1
32663,404,4,41,50,2
32664,4,1,7,3,1
32665,10,1,5,4,1
32666,208,1,2,9,1
32667,211,0,0,3,0
32668,19,0,0,8,0
32669,1,0,0,1,0
32670,24,0,0,4,0
32671,3,1,3,2,1
32672,47,0,0,5,0
32673,1,0,0,1,0
32674,5,1,1,4,1
32675,137,0,0,6,0
32676,1,0,0,1,0
32677,148,0,0,2,0
32678,28,0,0,1,0
32679,31,0,0,1,0
32680,9,0,0,2,0
32681,4,0,0,1,0
32682,335,0,0,15,0
32683,36,3,10,7,2
32684,266,0,0,9,0
32685,6857,2,4,6,1
32686,3317,5,7,17,2
32687,1627,2,9,19,2
32688,50,0,0,2,0
32689,3,0,0,1,0
32690,251,3,7,4,2
32691,60,0,0,1,0
32692,3,0,0,2,0
32693,20,0,0,5,0
32694,47,0,0,4,0
32695,8,0,0,3,0
32697,1,0,0,1,0
32698,131,1,1,3,1
32699,1,0,0,1,0
32700,88,1,1,5,1
32701,21,0,0,1,0
32702,27,0,0,8,0
32703,259,0,0,6,0
32704,80,0,0,10,0
32705,1,0,0,1,0
32706,44,0,0,2,0
32707,1,0,0,1,0
32708,89,0,0,8,0
32709,1045,1,5,20,1
32710,158,0,0,11,0
32711,11,0,0,4,0
32712,1,0,0,1,0
32713,1,0,0,1,0
32714,23,0,0,2,0
32715,3,0,0,1,0
32716,170,1,1,7,1
32717,185,1,1,4,1
32718,49,0,0,6,0
32719,136,0,0,1,0
32720,1,0,0,1,0
32721,139,1,4,8,1
32722,15,0,0,2,0
32723,5,0,0,1,0
32724,6,0,0,3,0
32725,5,0,0,1,0
32726,2,0,0,1,0
32727,121,2,2,15,2
32728,40,1,1,8,1
32729,2,0,0,1,0
32730,3,1,1,1,1
32731,68,0,0,5,0
32732,372,2,2,9,1
32733,108,0,0,1,0
32734,9,0,0,5,0
32735,3,1,1,1,1
32736,1,0,0,1,0
32737,135,0,0,8,0
32738,1,0,0,1,0
32739,563,1,2,18,1
32740,2,0,0,2,0
32741,636,0,0,32,0
32742,122,1,1,10,1
32743,6,0,0,1,0
32744,1,0,0,1,0
32745,147,1,1,23,1
32746,1,0,0,1,0
32747,15,0,0,2,0
32748,1,0,0,1,0
32749,366,3,3,8,1
32750,26,0,0,1,0
32751,4,0,0,4,0
32752,441,1,1,12,1
32753,88,0,0,7,0
32754,3,0,0,1,0
32755,72,1,1,7,1
32756,2,0,0,1,0
32757,5449,0,0,15,0
32758,6,0,0,3,0
32759,7,0,0,4,0
32760,24,0,0,5,0
32761,1,0,0,1,0
32762,17,0,0,3,0
32763,226,0,0,15,0
32764,171,0,0,18,0
32765,7,0,0,3,0
32766,81,0,0,5,0
32767,16,0,0,4,0
32768,3,0,0,2,0
32769,111,0,0,6,0
32770,1,0,0,1,0
32771,31,0,0,7,0
32772,22,0,0,6,0
32773,928,2,4,35,2
32774,15,0,0,4,0
32775,4,0,0,1,0
32776,2,0,0,1,0
32777,131,1,1,1,1
32778,3,1,1,1,1
32779,10,0,0,3,0
32780,20,0,0,2,0
32781,129,0,0,3,0
32782,1,0,0,1,0
32783,5,0,0,1,0
32784,1,0,0,1,0
32785,2887,3,15,18,2
32786,92,2,2,22,2
32787,8,1,1,1,1
32788,1,0,0,1,0
32789,2,0,0,1,0
32790,4,0,0,2,0
32791,1,0,0,1,0
32792,2,0,0,1,0
32793,95,0,0,5,0
32794,9,1,1,1,1
32795,1,0,0,1,0
32796,20,0,0,4,0
32797,2,0,0,1,0
32798,951,0,0,10,0
32799,77,0,0,4,0
32800,4,0,0,1,0
32801,3,0,0,1,0
32802,1035,0,0,24,0
32803,2317,5,6,13,1
32804,2,0,0,2,0
32805,238,0,0,12,0
32806,875,1,1,38,1
32807,3,0,0,1,0
32808,2,0,0,1,0
32809,8,0,0,1,0
32810,2,0,0,1,0
32811,2,0,0,1,0
32812,1,0,0,1,0
32813,1,0,0,1,0
32814,1,0,0,1,0
32815,3,0,0,1,0
32816,11,0,0,2,0
32817,122,0,0,15,0
32818,199,3,12,12,2
32819,1,0,0,1,0
32820,2,0,0,1,0
32821,8,0,0,1,0
32822,1,0,0,1,0
32823,32,0,0,3,0
32824,1,0,0,1,0
32825,1426,2,3,18,2
32826,3,0,0,1,0
32827,4,0,0,2,0
32828,3,0,0,1,0
32829,70,0,0,8,0
32830,1389,0,0,78,0
32831,1,0,0,1,0
32832,6,0,0,3,0
32833,1,0,0,1,0
32834,1264,3,3,10,1
32835,434,0,0,5,0
32836,3041,2,2,24,1
32837,59,1,1,15,1
32838,600,0,0,22,0
32839,2,0,0,2,0
32840,316,0,0,4,0
32841,1,0,0,1,0
32842,697,0,0,6,0
32843,47,1,1,3,1
32844,573,2,6,23,1
32845,5,0,0,3,0
32846,822,0,0,12,0
32847,833,0,0,2,0
32848,15,0,0,3,0
32849,35,1,465,4,1
32850,865,1,1,8,1
32851,10,0,0,2,0
32852,338,2,2,3,1
32853,1903,4,4,51,3
32854,40,0,0,3,0
32855,256,1,2,3,1
32856,314,3,20,15,3
32857,4,0,0,3,0
32858,4,0,0,3,0
32859,4,0,0,3,0
32860,622,0,0,19,0
32861,274,2,4,10,2
32862,3585,3,3,6,1
32863,64,0,0,3,0
32864,55,1,1,4,1
32865,84,1,1,3,1
32866,20,0,0,3,0
32867,4,1,1,3,1
32868,4,1,1,3,1
32869,15,0,0,3,0
32870,3900,24,354,15,2
32871,80,0,0,3,0
32872,49,0,0,4,0
32873,12,0,0,3,0
32874,140,0,0,3,0
32875,8,0,0,3,0
32876,12,0,0,7,0
32877,20,0,0,3,0
32878,4,0,0,3,0
32879,17,0,0,7,0
32880,1,0,0,1,0
32881,6,0,0,1,0
32882,2,0,0,1,0
32883,45,4,12,7,2
32884,250,0,0,3,0
32885,31,0,0,4,0
32887,1788,0,0,5,0
32888,1,0,0,1,0
32889,2,1,8,1,1
32890,4,0,0,1,0
32891,114,0,0,4,0
32892,122,0,0,2,0
32893,71,0,0,3,0
32894,1,0,0,1,0
32895,18,0,0,2,0
32896,2,0,0,1,0
32897,3,0,0,2,0
32898,2,0,0,2,0
32899,1,0,0,1,0
32900,1,0,0,1,0
32901,4,0,0,2,0
32902,29,1,1,3,1
32903,2,0,0,2,0
32904,1,0,0,1,0
32905,126,0,0,5,0
32906,2,0,0,2,0
32907,188,0,0,2,0
32908,21,0,0,5,0
32909,15,0,0,3,0
32910,5,0,0,3,0
32911,1,0,0,1,0
32912,1,0,0,1,0
32913,1,0,0,1,0
32914,35,1,1,8,1
32915,9,0,0,1,0
32916,1,0,0,1,0
32917,1,1,1,1,1
32918,1,0,0,1,0
32919,195,0,0,1,0
32920,1,0,0,1,0
32921,5,0,0,4,0
32922,1,0,0,1,0
32923,23,0,0,2,0
32924,1,0,0,1,0
32925,1,0,0,1,0
32926,1,0,0,1,0
32927,1,0,0,1,0
32928,41,0,0,5,0
32929,105,1,1,4,1
32930,10,0,0,3,0
32931,16,0,0,5,0
32932,1,0,0,1,0
32933,2,0,0,1,0
32934,78,0,0,1,0
32935,3,0,0,2,0
32936,1,0,0,1,0
32937,2,0,0,1,0
32938,8,1,1,5,1
32939,4,0,0,2,0
32940,4,0,0,2,0
32941,1025,1,15,4,1
32942,674,1,1,8,1
32943,20,0,0,8,0
32944,1,0,0,1,0
32945,2,0,0,1,0
32946,24,0,0,3,0
32947,111,0,0,7,0
32948,59,0,0,5,0
32949,15,0,0,6,0
32950,112,1,1,8,1
32951,204,0,0,8,0
32952,36,1,4,7,1
32953,56,0,0,3,0
32954,2,0,0,1,0
32955,423,1,1,12,1
32956,4,0,0,2,0
32957,183,0,0,13,0
32958,49,1,4,5,1
32959,57,1,1,6,1
32960,42,2,7,10,2
32961,1,0,0,1,0
32962,16,0,0,2,0
32963,296,5,9,27,4
32964,330,2,4,19,2
32965,4,0,0,1,0
32966,1,0,0,1,0
32967,109,0,0,6,0
32968,6,0,0,3,0
32969,73,0,0,7,0
32970,101,0,0,7,0
32971,61,0,0,5,0
32972,42,1,1,4,1
32973,40,0,0,3,0
32974,104,3,11,12,2
32975,74,0,0,4,0
32976,27,0,0,3,0
32977,109,0,0,9,0
32978,248,0,0,16,0
32979,156,1,3,3,1
32980,1244,3,3,31,2
32981,2,0,0,2,0
32982,270,3,3,27,3
32983,1,0,0,1,0
32984,1,0,0,1,0
32985,3,0,0,1,0
32986,60,0,0,5,0
32987,2,0,0,1,0
32988,1,0,0,1,0
32989,9,0,0,2,0
32990,41,1,1,2,1
32991,22,0,0,2,0
32992,186,0,0,10,0
32993,29,0,0,5,0
32994,205,2,2,2,1
32995,9,0,0,2,0
32996,4,0,0,2,0
32997,20,1,17,3,1
32998,6,0,0,3,0
32999,374,0,0,6,0
33000,37,0,0,5,0
33001,8,0,0,1,0
33002,1,0,0,1,0
33003,85,1,6,4,1
33004,386,1,1,16,1
33005,1,0,0,1,0
33006,4,0,0,2,0
33007,16,0,0,2,0
33008,47,1,1,6,1
33009,2,1,1,2,1
33010,14,1,1,2,1
33011,1107,1,1,5,1
33012,99,0,0,12,0
33013,8,0,0,3,0
33014,145,0,0,7,0
33015,10,0,0,3,0
33016,202,0,0,9,0
33017,430,2,20,7,1
33018,7,0,0,6,0
33019,7,1,12,1,1
33020,2,0,0,1,0
33021,390,0,0,12,0
33022,13,0,0,2,0
33023,425,0,0,30,0
33024,12,0,0,3,0
33025,345,0,0,13,0
33026,22,0,0,6,0
33027,46,0,0,8,0
33028,328,0,0,18,0
33029,264,0,0,7,0
33030,16,0,0,2,0
33031,28,0,0,3,0
33032,422,1,3,21,1
33033,46,0,0,7,0
33034,33,0,0,4,0
33035,378,2,3,35,2
33036,44,0,0,12,0
33037,1,0,0,1,0
33038,267,0,0,10,0
33039,295,2,3,2,1
33040,497,0,0,5,0
33041,35,0,0,13,0
33042,171,0,0,18,0
33043,2,0,0,1,0
33044,2,0,0,1,0
33045,2,0,0,1,0
33046,198,0,0,9,0
33047,246,0,0,12,0
33048,7,0,0,4,0
33049,29,0,0,3,0
33050,4807,17,272,17,2
33051,1,0,0,1,0
33052,176,0,0,10,0
33053,229,0,0,10,0
33054,1173,0,0,11,0
33055,992,0,0,13,0
33056,307,1,2,17,1
33057,380,0,0,16,0
33058,4174,19,177,90,10
33059,1445,5,17,20,1
33060,264,2,5,19,2
33061,132,0,0,7,0
33062,572,0,0,10,0
33063,127,0,0,16,0
33064,59,0,0,11,0
33065,1,0,0,1,0
33066,1,0,0,1,0
33067,380,1,19,13,1
33068,15,1,1,3,1
33069,608,1,1,12,1
33070,2,0,0,2,0
33071,870,0,0,37,0
33072,32,0,0,9,0
33073,95,0,0,8,0
33074,1,0,0,1,0
33075,36,0,0,4,0
33076,69,0,0,4,0
33077,1,0,0,1,0
33078,15,0,0,4,0
33079,45,0,0,3,0
33080,2,0,0,2,0
33081,800,2,4,30,2
33082,113,1,1,12,1
33083,2203,3,3,29,3
33084,83,0,0,5,0
33085,203,0,0,20,0
33086,230,0,0,34,0
33087,96,0,0,6,0
33088,255,0,0,11,0
33089,238,0,0,22,0
33090,7315,1,3,29,1
33091,236,0,0,3,0
33092,47,0,0,5,0
33093,106,0,0,13,0
33094,7,0,0,2,0
33095,10,0,0,2,0
33096,47,0,0,7,0
33097,19,1,1,3,1
33098,2,0,0,1,0
33099,16,0,0,3,0
33100,3,0,0,1,0
33101,3,0,0,1,0
33102,318,0,0,19,0
33103,1,0,0,1,0
33104,60,0,0,4,0
33105,47,1,1,7,1
33106,339,1,1,7,1
33107,21,0,0,1,0
33108,52,0,0,6,0
33109,10,0,0,2,0
33110,13,0,0,4,0
33111,126,0,0,8,0
33112,88,0,0,5,0
33113,88,0,0,10,0
33114,2,1,1,1,1
33115,217,1,1,4,1
33116,1,0,0,1,0
33117,465,1,5,19,1
33118,161,0,0,9,0
33119,2190,0,0,30,0
33120,407,1,124,21,1
33121,151,0,0,7,0
33122,40,1,5,11,1
33123,48,0,0,2,0
33124,55,2,10,7,2
33125,425,2,3,19,2
33126,4,0,0,1,0
33127,326,2,2,5,1
33128,4,1,1,2,1
33129,431,0,0,14,0
33130,2,0,0,2,0
33131,150,4,8,27,4
33132,165,3,4,37,2
33133,6,0,0,3,0
33134,931,2,3,21,1
33135,81,1,1,5,1
33136,51,0,0,2,0
33137,46,0,0,3,0
33138,65,1,6,4,1
33139,238,1,1,6,1
33140,22,0,0,3,0
33141,1778,1,3,44,1
33142,153,0,0,4,0
33143,3,0,0,1,0
33144,7,0,0,4,0
33145,135,0,0,1,0
33146,94,1,1,11,1
33147,61,3,3,4,3
33148,4,1,8,2,1
33149,2,0,0,2,0
33150,16,0,0,9,0
33151,2,0,0,2,0
33152,80,0,0,7,0
33153,19,1,1,5,1
33154,9,0,0,2,0
33155,232,1,1,5,1
33156,3,0,0,2,0
33157,75,0,0,12,0
33158,194,0,0,16,0
33159,56,3,3,33,3
33160,8,1,1,7,1
33161,9,1,10,7,1
33162,3195,5,10,50,4
33163,12,0,0,6,0
33164,21,1,5,8,1
33165,6,0,0,6,0
33166,6,0,0,6,0
33167,44,1,7,10,1
33168,78,0,0,16,0
33169,85,0,0,7,0
33170,77,0,0,19,0
33171,162,1,1,20,1
33172,17,0,0,2,0
33173,5,0,0,2,0
33174,3,0,0,1,0
33175,53,0,0,6,0
33176,159,1,1,9,1
33177,75,1,9,5,1
33178,77,2,5,11,1
33179,150,0,0,3,0
33180,52,0,0,3,0
33181,2,0,0,2,0
33182,3,0,0,1,0
33183,3,0,0,2,0
33184,399,0,0,3,0
33185,86,0,0,4,0
33186,2,0,0,1,0
33187,144,0,0,7,0
33188,1,0,0,1,0
33189,1861,8,11,17,3
33190,2,0,0,1,0
33191,13,1,1,3,1
33192,21,0,0,2,0
33193,4,0,0,1,0
33194,15,0,0,3,0
33195,45,0,0,12,0
33196,16,1,1,1,1
33197,1,0,0,1,0
33198,17899,9,37,39,5
33199,37,0,0,15,0
33200,344,0,0,11,0
33201,4,0,0,2,0
33202,30,0,0,2,0
33203,1,0,0,1,0
33204,1,0,0,1,0
33205,1,0,0,1,0
33206,124,0,0,5,0
33207,62,1,2,2,1
33208,34,1,2,3,1
33209,150,0,0,17,0
33210,99,0,0,8,0
33211,15,1,2,6,1
33212,108,0,0,7,0
33213,296,1,2,10,1
33214,4,0,0,4,0
33215,2,0,0,1,0
33216,17,0,0,1,0
33217,8,0,0,1,0
33218,104,0,0,1,0
33219,68,0,0,2,0
33220,10,0,0,2,0
33221,229,0,0,23,0
33222,1805,0,0,16,0
33223,7,0,0,6,0
33224,710,3,5,24,3
33225,16,1,1,9,1
33226,51,1,3,8,1
33227,16,0,0,5,0
33228,47,0,0,5,0
33229,226,1,1,5,1
33230,2,0,0,2,0
33231,889,4,4,13,3
33232,2,0,0,2,0
33233,16,0,0,3,0
33234,2,0,0,2,0
33235,502,1,2,7,1
33236,12,1,5,2,1
33237,6,0,0,3,0
33238,21,0,0,4,0
33239,8,0,0,3,0
33240,824,0,0,22,0
33241,17,0,0,5,0
33242,2,0,0,2,0
33243,110,4,4,7,2
33244,93,2,7,7,1
33245,68,0,0,1,0
33246,47,6,7,1,1
33247,52,3,3,1,1
33248,6,0,0,2,0
33249,2,0,0,1,0
33250,2,0,0,1,0
33251,2,0,0,2,0
33252,11696,2,4,142,2
33253,450,0,0,4,0
33254,193,0,0,8,0
33255,1,0,0,1,0
33256,17,0,0,2,0
33257,7,0,0,1,0
33258,14,0,0,1,0
33259,1,0,0,1,0
33260,115,1,1,4,1
33261,171,1,2,13,1
33262,2,1,2,1,1
33263,32,0,0,4,0
33264,59,0,0,10,0
33265,6,0,0,2,0
33266,792,1,2,14,1
33267,76,0,0,5,0
33268,646,2,2,30,2
33269,109,1,10,8,1
33270,5,0,0,5,0
33271,30,1,2,11,1
33272,2,0,0,1,0
33273,33,0,0,5,0
33274,873,0,0,19,0
33275,4,0,0,2,0
33276,1,0,0,1,0
33277,195,1,9,29,1
33278,381,0,0,6,0
33279,78,1,1,14,1
33280,2,0,0,1,0
33281,20,0,0,9,0
33282,371,5,5,21,4
33283,7,0,0,3,0
33284,58,0,0,6,0
33285,570,0,0,11,0
33286,4,0,0,2,0
33287,42,0,0,7,0
33288,9,0,0,1,0
33289,98,0,0,1,0
33290,2,0,0,1,0
33291,2,1,1,2,1
33292,3,0,0,1,0
33293,16,0,0,2,0
33294,58,2,2,3,2
33295,128,0,0,3,0
33296,70,1,1,10,1
33297,60,0,0,16,0
33298,160,0,0,4,0
33299,5,0,0,5,0
33300,1411,0,0,28,0
33301,228,3,8,13,3
33302,40,0,0,4,0
33303,6,0,0,1,0
33304,462,1,1,14,1
33305,70,0,0,1,0
33306,74,2,3,3,1
33307,8,0,0,1,0
33308,2,0,0,1,0
33309,5,0,0,1,0
33310,4,1,1,1,1
33311,170,0,0,30,0
33312,93,2,20,15,2
33313,144,1,2,18,1
33314,56,1,1,13,1
33315,51,0,0,8,0
33316,1,1,2,1,1
33317,138,0,0,10,0
33318,82,5,9,24,5
33319,53,1,6,12,1
33320,635,1,3,23,1
33321,44,0,0,6,0
33322,19,0,0,5,0
33323,117,0,0,8,0
33324,5,0,0,2,0
33325,20,2,2,1,1
33326,6,0,0,2,0
33327,21,0,0,5,0
33328,234,3,7,15,2
33329,1446,0,0,21,0
33330,24,0,0,7,0
33331,18,0,0,5,0
33332,165,1,1,6,1
33333,1008,0,0,8,0
33334,7,0,0,2,0
33335,7,0,0,2,0
33336,1,0,0,1,0
33337,1,0,0,1,0
33338,4,0,0,1,0
33339,1,0,0,1,0
33340,16,0,0,4,0
33341,192,0,0,12,0
33342,1,0,0,1,0
33343,3,0,0,1,0
33344,24,0,0,12,0
33345,15,0,0,4,0
33346,154,1,2,10,1
33347,2,1,1,1,1
33348,500,2,6,6,2
33349,10,1,1,3,1
33350,1,0,0,1,0
33351,94,1,2,13,1
33352,1,0,0,1,0
33353,4,1,1,2,1
33354,1,0,0,1,0
33355,17,0,0,2,0
33356,1,0,0,1,0
33357,73,0,0,11,0
33358,1,0,0,1,0
33359,331,1,1,12,1
33360,13,0,0,7,0
33361,14,4,4,2,1
33362,35,0,0,1,0
33363,11,1,1,1,1
33364,9,0,0,5,0
33365,5,0,0,2,0
33366,2,0,0,1,0
33367,1,0,0,1,0
33368,195,0,0,9,0
33369,7,0,0,3,0
33370,26,0,0,3,0
33371,3,0,0,1,0
33372,2,0,0,2,0
33373,1,0,0,1,0
33374,1,0,0,1,0
33375,37,1,1,3,1
33376,18,0,0,6,0
33377,4,0,0,4,0
33378,9,0,0,3,0
33379,1,0,0,1,0
33380,9,0,0,2,0
33381,18,1,1,5,1
33382,3,0,0,2,0
33383,19,0,0,4,0
33384,2729,6,9,29,2
33385,1,0,0,1,0
33386,9,1,1,5,1
33387,172,0,0,6,0
33388,1,0,0,1,0
33389,1,0,0,1,0
33390,1,0,0,1,0
33391,13,0,0,5,0
33392,1,0,0,1,0
33393,2,0,0,2,0
33394,345,2,3,25,2
33395,1,0,0,1,0
33396,99,0,0,8,0
33397,28,0,0,4,0
33398,117,1,1,7,1
33399,1,0,0,1,0
33400,84,0,0,7,0
33401,75,0,0,9,0
33402,138,4,4,4,2
33403,9,0,0,1,0
33404,5,0,0,2,0
33405,12,0,0,3,0
33406,28,0,0,7,0
33407,10,0,0,4,0
33408,66,0,0,6,0
33409,8,0,0,2,0
33410,9,0,0,4,0
33411,1,0,0,1,0
33412,33,0,0,8,0
33413,88,0,0,8,0
33414,17,0,0,3,0
33415,3,0,0,1,0
33416,1,0,0,1,0
33417,7,0,0,4,0
33418,69,0,0,11,0
33419,186,0,0,7,0
33420,1,0,0,1,0
33421,194,0,0,7,0
33422,8,0,0,3,0
33423,1,0,0,1,0
33424,267,1,1,12,1
33425,3,1,9,3,1
33426,169,3,7,15,1
33427,1,0,0,1,0
33428,48,1,2,8,1
33429,23,1,1,1,1
33430,50,0,0,7,0
33431,1,0,0,1,0
33432,15,1,1,3,1
33433,42,1,1,2,1
33434,471,1,5,18,1
33435,22,0,0,9,0
33436,3,0,0,2,0
33437,34,1,2,2,1
33438,38,2,6,4,1
33439,36,0,0,8,0
33440,2300,0,0,14,0
33441,132,0,0,4,0
33442,79,1,1,8,1
33443,1,0,0,1,0
33444,3,0,0,1,0
33445,1,0,0,1,0
33446,66,0,0,3,0
33447,15,0,0,4,0
33448,35,0,0,3,0
33449,66,0,0,12,0
33450,1,0,0,1,0
33451,1,0,0,1,0
33452,24,1,6,3,1
33453,64,0,0,6,0
33454,239,3,5,6,1
33455,35,0,0,4,0
33456,28,0,0,5,0
33457,1,0,0,1,0
33458,33,0,0,2,0
33459,1,0,0,1,0
33460,31,0,0,2,0
33461,1,0,0,1,0
33462,304,0,0,7,0
33463,12,0,0,2,0
33464,7,1,1,3,1
33465,11,0,0,4,0
33466,70,2,5,7,2
33467,1,0,0,1,0
33468,69,0,0,2,0
33469,45,0,0,6,0
33470,9,1,1,3,1
33471,31,0,0,3,0
33472,2,0,0,1,0
33473,1,0,0,1,0
33474,1,0,0,1,0
33475,47,0,0,9,0
33476,1,0,0,1,0
33477,659,1,3,24,1
33478,121,1,12,5,1
33479,18,0,0,9,0
33480,1,0,0,1,0
33481,1,0,0,1,0
33482,2,0,0,1,0
33483,78,0,0,5,0
33484,1,0,0,1,0
33485,26,0,0,4,0
33486,165,1,2,14,1
33487,84,0,0,11,0
33488,95,0,0,3,0
33489,76,0,0,2,0
33490,1,0,0,1,0
33491,9,0,0,2,0
33492,3,0,0,2,0
33493,14,0,0,4,0
33494,5,0,0,2,0
33495,13,0,0,4,0
33496,43,0,0,5,0
33497,4,0,0,2,0
33498,2,0,0,1,0
33499,5,0,0,4,0
33500,2,0,0,2,0
33501,1,0,0,1,0
33502,1,0,0,1,0
33503,1,0,0,1,0
33504,209,2,4,4,1
33505,4,0,0,4,0
33506,51,0,0,7,0
33507,506,1,1,32,1
33508,40,2,3,9,2
33509,64,0,0,5,0
33510,16,2,6,5,1
33511,1,0,0,1,0
33512,4,0,0,1,0
33513,7,0,0,3,0
33514,75,2,2,12,2
33515,21,2,4,5,2
33516,5,0,0,1,0
33517,83,0,0,9,0
33518,27,0,0,6,0
33519,1,0,0,1,0
33520,1,0,0,1,0
33521,1,0,0,1,0
33522,2355,2,6,60,1
33523,1,0,0,1,0
33524,22,0,0,5,0
33525,42,0,0,7,0
33526,1,0,0,1,0
33527,2,0,0,1,0
33528,21,1,1,4,1
33529,23,0,0,2,0
33530,66,1,1,1,1
33531,41,0,0,11,0
33532,1,0,0,1,0
33533,19,1,1,3,1
33534,44,0,0,6,0
33535,2,0,0,1,0
33536,13,0,0,3,0
33537,1,0,0,1,0
33538,1,0,0,1,0
33539,11,0,0,3,0
33540,1,0,0,1,0
33541,52,0,0,7,0
33542,1,0,0,1,0
33543,1,0,0,1,0
33544,67,0,0,6,0
33545,76,1,73,11,1
33546,2,0,0,2,0
33547,1,0,0,1,0
33548,1,0,0,1,0
33549,1,0,0,1,0
33550,22,0,0,2,0
33551,3,0,0,2,0
33552,2,0,0,1,0
33553,21,0,0,7,0
33554,56,1,2,10,1
33555,1,0,0,1,0
33556,52,1,1,4,1
33557,1479,0,0,19,0
33558,1,0,0,1,0
33559,6,0,0,4,0
33560,14,0,0,4,0
33561,83,5,6,7,1
33562,6,0,0,3,0
33563,5,0,0,3,0
33564,3,0,0,3,0
33565,173,0,0,11,0
33566,5,0,0,2,0
33567,29,0,0,6,0
33568,5,0,0,2,0
33569,15,0,0,5,0
33570,6,1,4,3,1
33571,8,0,0,2,0
33572,1,0,0,1,0
33573,533,1,1,12,1
33574,14,0,0,5,0
33575,12,2,12,1,1
33576,1,0,0,1,0
33577,2,0,0,2,0
33578,1,0,0,1,0
33579,1,0,0,1,0
33580,1,0,0,1,0
33581,104,0,0,10,0
33582,58,0,0,6,0
33583,9,0,0,2,0
33584,16,1,1,5,1
33585,6,0,0,3,0
33586,275,1,1,16,1
33587,2,0,0,1,0
33588,51,0,0,6,0
33589,3,0,0,1,0
33590,23,0,0,6,0
33591,1,0,0,1,0
33592,10,0,0,2,0
33593,228,1,1,13,1
33594,28,0,0,3,0
33595,36,2,5,10,2
33596,3,0,0,2,0
33597,174,0,0,12,0
33598,242,2,4,10,2
33599,7,0,0,1,0
33600,246,0,0,8,0
33601,1,0,0,1,0
33602,12,0,0,3,0
33603,33,0,0,9,0
33604,58,1,1,12,1
33605,82,0,0,8,0
33606,2,0,0,1,0
33607,1,0,0,1,0
33608,1,0,0,1,0
33609,33,0,0,2,0
33610,1,0,0,1,0
33611,1,0,0,1,0
33612,1,0,0,1,0
33613,1,0,0,1,0
33614,1,0,0,1,0
33615,195,1,1,25,1
33616,3,0,0,2,0
33617,17,0,0,7,0
33618,2,0,0,1,0
33619,10,1,3,5,1
33620,38,1,2,5,1
33621,54,0,0,8,0
33622,8,0,0,3,0
33623,1,0,0,1,0
33624,91,0,0,3,0
33625,3,0,0,3,0
33626,3,0,0,1,0
33627,75,0,0,9,0
33628,2,0,0,1,0
33629,13,1,1,5,1
33630,3,0,0,2,0
33631,11,1,4,1,1
33632,17,0,0,6,0
33633,78,0,0,2,0
33634,11,0,0,4,0
33635,98,0,0,11,0
33636,35,0,0,3,0
33637,4,0,0,2,0
33638,19,1,5,4,1
33639,556,0,0,12,0
33640,6,0,0,2,0
33641,28,0,0,3,0
33642,2,0,0,1,0
