user,number of commits,number of adoption commits,unique libraries adopted,unique committing repos,unique adoption repos
256,2701,0,0,283,0
257,1012,61,121,15,1
258,777,0,0,27,0
259,4,0,0,3,0
260,121,0,0,11,0
261,217,0,0,214,0
262,471,0,0,182,0
263,78,0,0,39,0
264,41,0,0,5,0
265,536,0,0,235,0
266,497,2,18,27,1
267,26,0,0,8,0
268,993,0,0,21,0
269,1754,0,0,9,0
270,456,2,4,36,2
271,33,3,4,1,1
272,26,0,0,3,0
273,52,1,4,3,1
274,57,1,5,1,1
275,27,1,1,1,1
276,24,1,4,1,1
277,1,0,0,1,0
278,1,0,0,1,0
279,11,0,0,2,0
280,1672,1,14,14,1
281,307,0,0,152,0
282,393,2,16,135,2
283,2778,0,0,188,0
284,236,0,0,134,0
285,263,0,0,130,0
286,180,3,9,136,3
287,186,0,0,144,0
288,151,0,0,151,0
289,138,0,0,138,0
290,280,0,0,140,0
291,202,0,0,156,0
292,202,0,0,157,0
293,34,1,1,5,1
294,131,0,0,114,0
295,636,0,0,61,0
296,356,2,2,95,1
297,151,0,0,82,0
298,1819,4,7,18,2
299,126,0,0,17,0
300,1,0,0,1,0
301,821,2,2,17,2
302,31,1,1,6,1
303,124,0,0,7,0
304,258,1,4,18,1
305,619,4,5,27,3
306,161,0,0,13,0
307,2,0,0,1,0
308,47,0,0,8,0
309,8,1,1,1,1
310,23,0,0,2,0
311,356,0,0,4,0
312,94,0,0,51,0
313,62,0,0,49,0
314,91,0,0,46,0
315,409,0,0,56,0
316,1372,0,0,68,0
317,603,0,0,81,0
318,224,1,14,59,1
319,385,0,0,63,0
320,2196,6,17,91,5
321,8,0,0,2,0
322,74,0,0,31,0
323,205,0,0,47,0
324,2427,2,2,24,1
325,55,1,1,7,1
326,14,0,0,7,0
327,125,0,0,3,0
328,281,2,2,23,1
329,199,2,2,20,2
330,614,4,9,54,3
331,137,0,0,11,0
332,1171,0,0,20,0
333,559,0,0,15,0
334,133,1,1,20,1
335,132,0,0,14,0
336,411,2,2,40,2
337,20,1,4,1,1
338,17,0,0,1,0
339,202,2,3,23,2
340,535,1,2,18,1
341,7,0,0,3,0
342,22,0,0,3,0
343,474,3,8,22,2
344,303,2,5,17,1
345,21,4,9,2,2
346,126,1,1,7,1
347,233,0,0,20,0
348,656,3,5,47,1
349,594,2,4,53,2
350,62,1,9,15,1
351,125,0,0,15,0
352,1,0,0,1,0
353,1040,3,10,60,3
354,500,2,3,19,1
355,20,1,5,2,1
356,389,2,12,32,2
357,108,2,5,10,2
358,40,0,0,8,0
359,2229,0,0,40,0
360,1328,5,15,111,4
361,243,1,2,19,1
362,1289,4,5,47,3
363,36,0,0,6,0
364,1838,0,0,39,0
365,378,0,0,12,0
366,1679,2,2,84,2
367,7,0,0,1,0
368,59,0,0,8,0
369,2158,175,626,2155,175
370,18,0,0,1,0
371,4,0,0,1,0
372,2193,2,2,87,2
373,897,2,3,25,1
374,846,3,6,80,1
375,61,0,0,3,0
376,85,2,4,5,1
377,245,2,2,13,1
378,2,0,0,2,0
379,174,0,0,11,0
380,247,2,6,4,2
381,1648,0,0,35,0
382,39,0,0,3,0
383,836,0,0,29,0
384,84,4,15,31,4
385,2,0,0,1,0
386,194,0,0,28,0
387,23,0,0,1,0
388,80,1,1,12,1
389,39,0,0,8,0
390,66,1,1,12,1
391,129,0,0,13,0
392,96,0,0,12,0
393,35,0,0,10,0
394,351,0,0,8,0
395,70,0,0,6,0
396,87,0,0,5,0
397,48,0,0,12,0
398,654,0,0,21,0
399,229,7,20,19,3
400,1287,0,0,15,0
401,3755,12,19,99,11
402,5,0,0,3,0
403,270,2,2,11,2
404,12,0,0,3,0
405,500,0,0,17,0
406,275,0,0,23,0
407,637,0,0,4,0
408,135,0,0,12,0
409,399,0,0,38,0
410,6437,5,5,52,5
411,26,0,0,6,0
412,112,1,1,31,1
413,135,2,4,20,2
414,72,0,0,8,0
415,578,2,4,25,2
416,172,2,2,1,1
417,1,0,0,1,0
418,6,0,0,2,0
419,399,0,0,13,0
420,2104,3,5,137,3
421,69,8,51,24,8
422,38,0,0,10,0
423,26,0,0,17,0
424,50,1,1,10,1
425,63,1,5,10,1
426,370,3,16,34,2
427,5,0,0,3,0
428,18,0,0,3,0
429,7,0,0,2,0
430,119,1,2,9,1
431,5,1,1,1,1
432,471,0,0,6,0
433,47,1,4,3,1
434,114,1,2,9,1
435,42,3,6,2,1
436,21,1,4,3,1
437,809,1,3,21,1
438,173,0,0,11,0
439,88,1,1,17,1
440,62,0,0,6,0
441,12,0,0,8,0
442,546,0,0,29,0
443,692,0,0,34,0
444,163,0,0,7,0
445,5,0,0,4,0
