length,freq,adopt_freq,avg_commit_count,avg_adopt_commit_count,avg_commits_when_adopt,avg_commits_no_adopt
0.5,170341,2024,7.2418090770865495,0.01227537703782413,7.25098814229249,7.241698699477771
0.0,439159,5594,2.7073155736305075,0.012763031157280166,3.404183053271362,2.6983243573627944
2.0,30518,342,11.014253882954321,0.01186185202175765,9.687134502923977,11.029294803817603
3.0,22994,278,12.676393841871793,0.012742454553361747,12.194244604316546,12.682294418031343
4.0,19730,225,13.782767359351242,0.012012164216928535,20.4,13.706434247628813
5.5,16905,226,15.639041703637977,0.01419698314108252,16.924778761061948,15.621620001199112
6.0,16537,191,16.15885589889339,0.012759267098022616,22.020942408376964,16.090358497491742
7.0,14872,189,17.695199031737495,0.013784292630446476,17.544973544973544,17.69713273854117
8.0,13163,158,19.332598951606776,0.012839018460837195,24.71518987341772,19.26720492118416
9.5,7518,106,22.497871774408086,0.01636073423782921,31.367924528301888,22.371019967620075
10.5,5674,78,22.940782516743038,0.015861825872400422,20.28205128205128,22.97784131522516
11.5,4635,53,24.825458468176915,0.014670981661272923,31.39622641509434,24.749454386730687
12.0,4317,64,26.910122770442438,0.018068102849200834,42.609375,26.673877263108395
13.5,3012,44,33.87184594953519,0.017928286852589643,59.47727272727273,33.49225067385445
14.0,2537,25,31.789909341742216,0.011430823807646828,20.96,31.89769108280255
15.0,1441,19,31.410131852879946,0.015961138098542677,42.1578947368421,31.266526019690577
16.5,614,7,32.744299674267104,0.013029315960912053,23.285714285714285,32.853377265238876
17.5,367,9,23.929155313351497,0.02452316076294278,13.0,24.20391061452514
18.5,316,3,35.651898734177216,0.012658227848101266,11.0,35.88817891373802
3.5,21216,247,13.208710407239819,0.01239630467571644,15.388663967611336,13.183032094997378
20.5,240,4,40.75833333333333,0.020833333333333332,18.5,41.13559322033898
21.5,257,6,37.72762645914397,0.023346303501945526,50.833333333333336,37.41434262948207
22.5,250,6,31.932,0.04,21.166666666666668,32.19672131147541
23.5,213,4,38.413145539906104,0.018779342723004695,27.25,38.6267942583732
24.0,255,4,36.666666666666664,0.0196078431372549,22.5,36.89243027888446
25.0,230,6,48.97826086956522,0.02608695652173913,18.0,49.808035714285715
26.5,171,5,44.19298245614035,0.04678362573099415,32.4,44.54819277108434
27.0,172,6,53.77325581395349,0.05232558139534884,32.5,54.54216867469879
28.5,135,4,44.68888888888889,0.02962962962962963,26.5,45.2442748091603
29.5,127,5,56.78740157480315,0.03937007874015748,32.0,57.80327868852459
30.5,108,3,58.49074074074074,0.046296296296296294,55.0,58.59047619047619
