session_length_seconds,avg_adopt_time
0,0.0
1,0.0
2,0.4
3,0.6
4,0.0
5,0.0
6,1.6666666666666667
7,0.0
8,1.3333333333333333
9,0.0
10,1.6666666666666667
11,0.0
12,0.0
13,0.0
14,0.0
15,3.0
16,0.0
17,17.0
18,0.0
19,1.7272727272727273
20,2.5
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,6.5
27,3.857142857142857
28,4.666666666666667
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,6.181818181818182
35,0.0
37,0.0
38,4.75
39,7.8
40,0.0
41,0.0
42,0.0
43,8.5
44,0.0
45,0.0
46,7.666666666666667
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,15.9
54,0.0
55,0.0
56,0.0
57,14.25
58,0.0
59,0.0
60,0.0
61,7.625
62,0.0
63,0.0
64,16.0
65,0.0
66,0.0
67,26.8
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,24.333333333333332
74,24.666666666666668
75,37.5
76,19.0
77,0.0
78,0.0
79,52.666666666666664
80,0.0
81,10.125
82,21.875
83,0.0
84,0.0
85,0.0
86,0.0
87,17.4
88,0.0
89,17.8
90,0.0
91,0.0
92,0.0
93,0.0
95,0.0
96,19.2
97,0.0
98,0.0
99,45.0
100,0.0
101,50.5
102,0.0
103,0.0
104,0.0
105,26.25
106,0.0
107,0.0
108,54.0
109,0.0
110,0.0
111,0.0
112,0.0
113,18.833333333333332
114,0.0
115,0.0
116,0.0
117,0.0
118,24.25
119,39.666666666666664
120,18.0
121,24.2
122,0.0
123,0.0
124,12.166666666666666
125,0.0
126,0.0
128,32.0
129,0.0
130,32.5
131,0.0
132,0.0
133,0.0
134,33.5
135,67.5
136,0.0
137,0.0
138,0.0
139,0.0
140,46.666666666666664
141,0.0
142,2.75
143,0.0
144,57.6
145,32.22222222222222
146,0.0
147,48.0
148,0.0
149,0.0
150,0.0
151,151.0
152,38.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,17.666666666666668
162,0.0
163,32.6
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,9.25
170,0.0
171,57.0
172,91.25
173,0.0
174,0.0
177,0.0
178,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,12.0
191,63.666666666666664
192,0.0
193,193.0
194,0.0
196,0.0
197,0.0
198,0.0
200,0.0
201,35.2
203,0.0
204,0.0
205,51.25
206,0.0
208,31.0
209,0.0
210,70.0
211,0.0
212,0.0
213,83.5
214,0.0
216,0.0
217,108.5
218,0.0
220,49.666666666666664
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,32.333333333333336
228,0.0
229,0.0
230,0.0
231,231.0
232,0.0
233,0.0
234,0.0
235,0.0
237,118.5
238,0.0
239,0.0
240,160.0
241,0.0
243,0.0
244,81.33333333333333
246,0.0
247,0.0
249,0.0
250,125.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,61.0
257,0.0
258,0.0
259,0.0
260,260.0
261,0.0
262,0.0
263,263.0
268,0.0
269,67.25
270,0.0
271,0.0
272,0.0
275,0.0
276,0.0
278,0.0
279,22.0
280,0.0
281,0.0
282,0.0
283,0.0
284,103.75
285,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
295,0.0
296,0.0
297,0.0
298,0.0
300,0.0
302,0.0
304,0.0
306,0.0
307,0.0
309,0.0
310,0.0
311,0.0
312,0.0
314,156.5
316,0.0
317,62.57142857142857
318,0.0
319,0.0
320,0.0
321,0.0
323,28.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,83.75
336,0.0
337,0.0
338,0.0
340,0.0
341,0.0
342,0.0
343,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
356,0.0
357,0.0
358,0.0
360,33.333333333333336
362,0.0
364,0.0
365,0.0
366,0.0
367,112.33333333333333
371,0.0
373,0.0
374,0.0
375,0.0
376,213.2
378,20.0
379,0.0
381,0.0
382,0.0
383,191.5
384,0.0
386,0.0
387,0.0
389,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
397,0.0
398,0.0
400,400.0
401,0.0
402,100.5
403,9.0
404,0.0
405,0.0
406,135.33333333333334
407,0.0
409,394.5
410,0.0
412,0.0
413,413.0
415,0.0
416,0.0
417,0.0
419,0.0
421,0.0
422,0.0
424,0.0
426,0.0
428,0.0
429,0.0
430,78.33333333333333
431,431.0
432,0.0
433,144.33333333333334
435,0.0
436,0.0
437,0.0
439,0.0
440,220.0
441,215.25
444,74.0
446,0.0
447,0.0
448,0.0
449,0.0
452,0.0
453,0.0
455,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,463.0
464,0.0
465,0.0
467,0.0
468,0.0
469,0.0
470,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
481,0.0
483,120.75
484,0.0
485,0.0
486,243.0
487,0.0
490,0.0
492,412.0
493,0.0
494,494.0
495,0.0
496,0.0
498,0.0
499,0.0
501,0.0
502,0.0
504,0.0
505,0.0
506,0.0
508,0.0
509,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,171.66666666666666
516,0.0
517,0.0
518,0.0
520,173.33333333333334
524,0.0
525,0.0
526,0.0
528,528.0
530,0.0
531,0.0
534,0.0
536,0.0
537,0.0
539,0.0
540,0.0
544,0.0
547,273.5
548,0.0
549,274.5
552,0.0
553,276.5
554,0.0
555,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
569,0.0
571,0.0
574,0.0
575,307.0
576,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
587,0.0
588,0.0
589,108.66666666666667
594,0.0
595,0.0
597,0.0
599,0.0
600,0.0
605,0.0
607,0.0
608,0.0
609,0.0
610,610.0
611,0.0
612,0.0
614,0.0
615,0.0
616,196.6
618,0.0
621,0.0
622,0.0
624,0.0
626,0.0
628,0.0
629,0.0
630,0.0
631,267.5
632,0.0
634,0.0
635,0.0
636,167.0
639,0.0
640,213.33333333333334
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
649,150.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
657,0.0
658,0.0
659,0.0
660,0.0
662,0.0
663,0.0
666,0.0
669,0.0
672,0.0
675,0.0
676,192.0
677,0.0
679,0.0
680,0.0
681,454.0
682,0.0
684,0.0
685,0.0
686,0.0
688,0.0
689,0.0
690,0.0
692,0.0
693,0.0
695,0.0
699,0.0
700,0.0
701,0.0
703,0.0
