user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
4634,0,832
4635,125,405
4643,946,1039
4651,2696,2248
4658,0,255
4660,110,268
4666,2,130
4676,0,226
4679,0,418
4683,0,322
4684,468,212
4685,0,229
4688,10,357
4689,0,654
4695,0,358
4696,104,0
4703,314,530
4718,223,80
4724,1,251
4751,317,303
4761,46,127
4766,0,151
4769,28,188
4786,0,120
4799,203,164
4800,423,127
4802,239,360
4816,298,6
4828,116,5
4830,160,85
4834,39,130
4842,33,178
4876,1568,250
4877,98,538
4908,165,150
4910,348,397
4912,226,115
4913,609,317
4915,13,308
4921,113,133
4926,52,117
4932,61,173
4941,442,1167
4947,1285,943
4961,12,328
4972,41,100
4973,136,44
4977,308,499
4994,11,130
5000,164,80
5006,413,323
5010,68,665
5022,77,235
5023,6,117
5025,233,148
5026,51,495
5027,1251,539
5028,176,142
5031,94,192
5035,9,124
5041,266,0
5045,137,54
5046,0,145
5062,138,381
5097,5058,4684
5115,4,216
5126,115,76
5153,138,31
5188,10,160
5257,8,218
5263,53,320
5264,114,47
5288,20,177
5300,64,236
5334,202,35
5408,1489,343
5410,26,217
5413,377,504
5439,15,243
5446,326,139
5451,4226,1510
5466,3,155
5483,54,281
5545,46,165
5566,22,117
5600,158,167
5624,123,25
5627,163,289
5644,26,106
5646,81,255
5660,7,138
5679,205,192
5680,134,271
5692,188,558
5702,513,357
5710,27,103
5759,23525,1612
5766,428,11
5768,0,342
5774,1113,74
5786,140,101
5861,130,219
5892,170,1434
5901,5566,673
5906,24,165
5907,1636,600
5916,75,336
5918,259,78
5924,3630,1958
5950,4,239
5966,23,127
5973,1358,1319
5989,107,34
6001,130,65
6006,168,49
6016,568,413
6023,115,123
6024,4530,1757
6030,197,189
6087,50,265
6126,173,210
6141,558,628
6148,423,98
6153,338,252
6174,1431,457
6194,103,25
6216,122,241
6219,1460,6473
6226,139,149
6227,49,103
6240,149,97
6261,102,188
6263,196,243
6264,458,240
6273,666,235
6276,285,609
6277,943,278
6287,166,48
6289,5883,6288
6290,369,178
6294,1,1070
6296,1096,238
6297,40,136
6305,45,543
6307,81,133
6308,65,172
6321,2466,4367
6325,4,123
6328,343,143
6338,138,356
6344,0,234
6362,104,192
6431,1886,1556
6433,235,1636
6435,78,1018
6437,1311,2381
6482,33,562
6486,527,337
6487,16,378
6488,141,318
6489,0,120
6491,74,175
6497,31,130
6505,0,168
6510,192,13
6524,192,60
6531,134,158
6537,432,416
6586,23,125
6589,36,247
6609,755,119
6636,344,76
6639,114,0
6648,28,136
6667,165,80
6669,71,132
6677,171,0
6680,101,6
6687,109,3
6688,15,150
6689,0,160
6690,159,10
6692,7,137
6693,104,0
6699,272,70
6703,131,67
6713,109,0
6717,269,8
6721,116,0
6737,1,117
6745,25,137
6771,0,152
6780,90,246
6792,113,101
6801,104,43
6804,205,27
6846,112,11
6853,17,288
6873,0,136
6878,107,46
6983,107,346
7018,49,114
7065,434,190
7066,101,89
7067,4438,1221
7068,282,323
7069,352,63
7071,30,149
7072,2466,625
7073,65,136
7074,100,416
7075,1662,1417
7078,22,134
7079,63,550
7085,263,251
7087,282,772
7088,196,302
7090,2465,430
7093,77,101
7105,3,162
7106,120,280
7107,47,128
7110,420,240
7111,0,140
7113,160,660
7114,240,580
7116,107,144
7120,460,640
7121,220,260
7122,105,265
7123,700,700
7124,487,451
7126,280,80
7127,0,100
7129,420,840
7130,0,120
7132,500,240
7133,349,260
7135,0,760
7137,1180,40
7138,60,1160
7141,60,500
7142,0,200
7153,436,640
7176,272,16
7177,16,148
7183,269,665
7198,0,1016
7199,97,328
7280,303,395
7285,744,1
7299,160,213
7307,1201,817
7345,260,44
7348,183,739
7349,142,20
7351,63,130
7355,273,412
7363,49,106
7380,120,47
7417,0,387
7424,193,379
7486,33,101
7507,126,57
7516,10,119
7518,20,114
7521,117,130
7526,64,154
7530,183,127
7535,941,11338
7537,207,93
7544,14,361
7549,236,675
7592,170,36
7595,1885,3138
7604,90,182
7610,26,217
7658,46,155
7687,224,426
7731,881,273
7732,222,128
7738,1123,926
7742,4225,2387
7760,38,121
7767,474,231
7781,3708,165
7785,5,122
7856,265,136
7921,1024,570
7932,107,3
7989,347,3866
7990,15150,3484
7991,10266,4725
7992,1233,902
7993,207,247
7996,903,1503
7997,1163,1514
7998,10240,6350
7999,46,114
8000,4747,3505
8001,627,935
8002,1156,3006
8003,3710,3443
8004,3363,1746
8005,1078,886
8006,64,236
8007,405,216
8008,76,2254
8009,12310,2867
8010,2994,4105
8012,8275,4021
8013,1833,3827
8014,586,1680
8015,9011,4812
8018,5986,6564
8019,26292,2550
8020,12059,8689
8021,101,211
8022,407,398
8023,99,962
8024,7694,3201
8025,5445,4581
8026,1064,1316
8027,70,248
8029,492,869
8030,7025,2212
8031,4,270
8033,752,1040
8034,467,727
8035,2188,1945
8036,8814,10111
8037,514,1304
8038,1159,1398
8039,6636,2774
8040,769,1964
8041,224,99
8042,1,257
8043,1449,896
8045,362,266
8046,1038,2618
8047,1535,1817
8048,131,298
8049,325,514
8050,88,681
8051,3,115
8052,404,1016
8053,96,578
8054,1654,511
8055,158,663
8056,2258,8663
8057,578,2008
8058,35622,6866
8059,1844,1310
8061,1796,1699
8062,60,185
8064,844,1758
8065,5570,6688
8066,1480,5397
8067,96,738
8068,994,244
8069,734,1613
8070,382,1113
8071,145,447
8072,136,29
8073,892,1985
8074,1220,1264
8075,717,2146
8077,867,4538
8078,780,1474
8079,1181,58
8080,1981,4901
8081,318,1419
8083,37,286
8084,472,441
8085,3149,3293
8086,571,729
8087,71,576
8089,756,2017
8090,35,127
8091,670,2290
8092,170,1279
8095,1106,1262
8098,160,107
8099,5,137
8101,1476,1601
8102,5228,6154
8103,111,447
8104,1936,1369
8105,177,384
8106,172,398
8107,4152,3892
8108,10384,3963
8109,7221,3150
8113,3,119
8114,2192,2077
8116,602,1690
8117,213,489
8118,293,185
8119,33,1322
8121,17,302
8122,7229,9833
8124,1114,671
8125,633,952
8127,56,179
8129,3334,1989
8130,184,98
8131,1313,3933
8132,190,508
8135,1046,1542
8136,2179,4267
8138,243,3129
8139,213,975
8140,2746,4352
8141,144,237
8142,3284,1128
8144,8,371
8145,1087,1368
8146,416,134
8147,0,281
8148,306,411
8151,28,478
8152,5622,2385
8153,3654,2793
8158,44,104
8159,357,204
8160,1432,2233
8161,0,202
8162,9229,6944
8163,86,1664
8164,365,337
8165,3517,3795
8166,315,423
8169,2672,3916
8172,4843,4636
8173,812,6365
8174,877,1410
8176,1,226
8179,1998,2203
8182,156,1438
8183,7,215
8184,2773,2476
8185,205,97
8186,106,404
8188,372,376
8189,1384,1140
8191,24,290
8192,0,116
8194,68,240
8195,1233,1644
8196,0,137
8197,205,315
8198,221,282
8200,10,381
8201,465,734
8203,1372,1582
8204,55,476
8205,3731,6539
8206,1069,1308
8211,1735,3978
8212,121,427
8213,300,395
8214,50,384
8215,2855,2638
8218,440,1294
8219,100,202
8220,1761,2417
8222,754,20
8224,500,1463
8225,1021,1220
8226,1093,407
8227,1051,2244
8230,25,188
8232,209,163
8233,6,412
8235,51,1196
8238,0,2318
8240,334,1063
8242,301,978
8243,92,265
8244,202,974
8245,341,951
8247,310,1705
8249,6438,1891
8251,44,360
8252,1151,2060
8253,24,300
8255,5966,6106
8256,275,674
8259,108,890
8260,13965,6595
8261,1738,177
8262,475,830
8264,174,206
8265,6282,7435
8266,54,316
8267,5570,2727
8268,159,231
8269,2542,1730
8270,207,12
8271,2099,1746
8273,21,335
8274,28,291
8275,1373,1495
8276,492,855
8277,188,1141
8279,315,240
8281,4621,2569
8282,4429,3184
8284,9,504
8286,154,103
8287,300,702
8288,7976,6456
8289,6296,6058
8290,371,3333
8291,3179,2414
8293,592,621
8295,851,3679
8297,965,979
8301,7033,8807
8304,886,1808
8305,1299,1975
8306,173,1201
8307,0,209
8310,2336,5050
8311,229,352
8312,1637,1138
8313,198,1760
8314,3843,5103
8315,64,2016
8318,5,818
8320,321,1438
8322,50,345
8323,110,552
8325,2948,2069
8328,94,329
8329,242,137
8331,1129,3394
8336,607,2057
8337,239,948
8338,443,284
8340,5710,5939
8342,922,4005
8343,383,201
8344,3465,2763
8346,0,1068
8347,2531,2402
8351,213,1251
8358,142,796
8359,968,1841
8360,198,41
8361,83,654
8362,108,444
8363,600,0
8366,26,2813
8368,7,312
8369,47,2313
8370,80,850
8371,27,138
8372,5075,1814
8373,2129,6073
8375,8,323
8377,11,582
8378,533,1
8379,0,175
8383,102,1504
8385,165,268
8386,58,160
8387,27,652
8388,11172,8281
8389,3,321
8391,287,221
8392,134,0
8394,10616,8548
8395,3400,1990
8396,214,719
8397,299,2766
8399,1559,547
8401,9739,5288
8403,118,2849
8404,678,2355
8405,4530,2523
8406,112,185
8407,785,277
8409,2,292
8410,77,281
8411,486,1869
8412,10,657
8413,5125,6302
8418,8,281
8420,3881,775
8423,394,1449
8426,4557,1495
8427,6527,12006
8428,2591,4744
8430,111,376
8431,772,0
8432,2634,3507
8434,478,1014
8435,184,737
8436,168,52
8437,0,430
8438,4012,2833
8439,672,1450
8440,1200,232
8442,61,128
8443,5,180
8444,1265,6011
8446,1050,940
8447,11276,3781
8448,1210,2693
8449,186,1081
8450,52,173
8451,3677,3172
8452,1028,1377
8453,1424,922
8454,603,2360
8455,11619,7139
8456,290,588
8457,260,12
8458,29,350
8463,327,2253
8467,858,2910
8468,12569,3953
8469,2311,3504
8471,639,3842
8473,10632,1614
8474,2788,2685
8475,385,1211
8476,3994,7552
8477,2560,4172
8479,519,485
8480,193,197
8481,375,1249
8482,54,193
8483,493,1306
8486,1778,3691
8488,5130,2435
8491,902,3828
8492,113,13
8493,455,1198
8494,1733,1433
8495,1150,5382
8498,0,236
8499,1197,2137
8500,1010,91
8503,592,1981
8504,1022,1055
8505,125,261
8507,26,4298
8509,142,885
8511,214,4220
8512,5338,2552
8513,195,469
8516,432,1573
8517,2639,2897
8520,0,348
8521,1242,370
8550,106,17
8574,0,139
8576,114,2
8618,49,228
8620,1,107
8656,20,107
8685,116,5
8699,1646,1450
8716,49,252
8750,46,100
8757,11,109
8768,76,488
8770,83,158
8840,157,3
8841,115,11
8842,22,109
8848,121,209
8849,217,131
8850,228,527
8852,769,177
8855,80,117
8856,59,258
8858,142,161
8860,118,59
8861,10,158
8990,152,188
9001,20,121
9044,106,15
9091,21,129
9152,112,70
9154,144,62
9169,320,128
9170,46,285
9209,3,102
9225,689,1542
9231,4,401
9238,105,199
9241,152,91
9261,108,42
9273,355,261
9278,13,239
9327,343,63
9359,53,156
9361,137,66
9362,119,67
9385,164,74
9392,5,255
9440,1235,1439
9446,85,116
9447,573,350
9456,511,6832
9479,119,21
9494,576,576
9500,117,205
9507,21,235
9550,63,325
9565,5,206
9569,141,2332
9594,113,108
9603,8851,8832
9615,607,213
9624,318,38
9637,144,41
9642,4136,797
9649,48,214
9652,458,146
9655,229,530
9657,0,125
9672,21,341
9680,27,105
9687,521,342
9689,196,77
9692,358,69
9696,249,276
9698,428,105
9714,393,76
9720,18,116
9742,427,224
9753,162,47
9758,435,173
9761,737,287
9774,884,390
9777,302,58
9779,3,100
9803,231,201
9806,204,207
9811,144,47
9812,1381,139
9826,59,113
9852,85,323
9856,168,59
9858,105,152
9861,505,272
9864,68,570
9878,231,681
9893,0,194
9915,190,196
9916,76,267
9927,75,114
9930,0,436
9936,442,340
9958,80,113
9959,208,139
9963,459,171
9969,629,485
9977,4,201
9985,77,157
9995,237,61
10005,22,178
10013,123,27
10019,286,114
10020,3096,1265
10041,26,118
10045,178,121
10071,0,124
10075,64,12499
10078,1352,3469
10079,8334,8772
10092,55,108
10100,260,130
10103,402,169
10110,2,190
10114,103,119
10123,959,389
10132,180,422
10133,354,53
10134,6,162
10152,3,180
10181,624,14
10182,40,410
10195,166,9
10199,132,246
10241,541,22
10300,108,55
10310,96,121
10328,17,102
10330,78,169
10345,26,182
10371,137,33
10394,1514,298
10426,28,105
10427,92,498
10428,7,418
10470,123,172
10490,237,34
10564,133,302
10575,170,24
10578,63,189
10604,6,173
10608,47,201
10610,33,109
10652,135,301
10661,56,116
10669,722,350
10670,2626,2166
10672,182,5319
10673,154,121
10684,5281,581
10693,17,129
10732,264,0
10747,102,200
10749,107,279
10750,184,792
10779,174,194
10782,370,241
10789,267,246
10795,64,203
10800,485,312
10806,115,78
10808,110,73
10809,50,120
10829,9,109
10860,315,749
10861,903,682
10867,5426,472
10881,4,109
10887,884,429
10896,0,145
10902,91,139
10906,11,768
10908,2304,234
10909,0,104
10920,24,112
10925,21,104
10943,222,108
10952,184,184
10953,444,208
10966,282,176
10967,6,223
10968,182,100
10986,1,101
10987,0,183
11016,5244,684
11017,14,729
11025,2497,10660
11026,1,363
11027,126,123
11046,337,287
11047,2821,2200
11060,183,252
11068,22,153
11098,2162,424
11107,77,150
11115,1991,237
11118,3376,1131
11119,1809,5447
11120,41,168
11121,83,156
11125,149,113
11133,233,138
11134,172,71
11142,97,272
11148,36,5044
11153,0,122
11156,445,200
11157,1732,1073
11158,360,161
11168,1618,625
11173,40,174
11181,180,258
11208,723,30
11265,0,3378
11277,221,20
11299,968,682
11320,144,226
11331,62,340
11332,234,108
11333,56,100
11334,8,185
11336,54,166
11337,16,272
11338,8,131
11340,170,168
11347,73,415
11356,115,184
11357,72,312
11360,108,120
11362,184,218
11377,42,156
11388,24,122
11403,782,99
11416,118,74
11425,148,0
11433,331,163
11436,0,154
11438,114,0
11482,69,310
11493,106,3
11531,0,242
11608,112,96
11613,116,0
11623,270,35
11625,209,91
11656,15,102
11657,738,329
11662,130,2
11695,1031,2
11696,1,1036
11711,123,40
11718,116,192
11720,132,44
11721,149,84
11747,86,191
11774,0,128
11797,1581,1733
11813,2,199
11817,20,170
11834,139,339
11840,134,0
11853,73,237
11938,60,206
11971,2551,35
11976,889,624
11980,995,10
12012,45,356
12016,366,0
12017,390,46
12039,178,370
12045,177,451
12049,168,248
12050,66,165
12072,126,76
12073,361,310
12084,79,218
12097,1463,368
12116,1565,304
12122,35370,2782
12124,11,150
12136,375,234
12137,931,626
12169,40,107
12207,213,105
12215,78,102
12223,15,207
12226,1186,349
12227,14,103
12233,95,129
12240,697,109
12308,141,8
12309,80,108
12325,21,530
12326,76,342
12331,659,16
12348,109,17
12349,27,161
12439,227,49
12446,199,64
12450,8,100
12452,188,197
12493,288,271
12494,8,182
12498,768,4320
12516,120,50
12517,115,39
12525,81,143
12539,4442,1622
12540,8761,1645
12543,269,257
12595,3,257
12598,3337,197
12645,74,198
12659,446,190
12671,30,114
12765,128,8
12930,324,14
12931,6427,703
12965,100,77
13043,39,274
13097,30,154
13111,262,99
13130,18,138
13135,104,57
13153,0,745
13256,403,232
13267,12,156
13282,75,102
13301,21,210
13305,1231,365
13336,1582,344
13337,97,226
13343,713,385
13357,28,124
13358,175,620
13393,140,101
13501,102,210
13516,193,122
13533,717,367
13544,78,318
13555,69,111
13561,895,38
13568,4,658
13597,153,0
13623,32,365
13637,1,522
13645,130,0
13648,186,16
13659,15,167
13672,107,49
13677,26,216
13684,166,8
13718,263,0
13770,11,187
13838,16,240
13855,441,288
13857,535,24
13862,112,236
13868,17,231
13950,109,143
13988,0,292
14003,1276,163
14014,2751,835
14016,373,528
14019,314,424
14020,211,220
14022,302,422
14024,51,155
14025,72,124
14031,68,241
14036,330,120
14042,30,103
14054,154,76
14055,0,354
14056,20,295
14067,360,0
14077,238,79
14080,75,223
14096,0,100
14101,57,405
14103,140,0
14181,105,120
14187,0,132
14190,7,104
14199,378,99
14215,160,115
14242,139,166
14374,4,116
14407,852,913
14408,100,90
14414,77,149
14421,121,383
14455,0,105
14477,133,46
14481,41,154
14505,144,87
14533,28,121
14565,198,0
14582,134,145
14602,81,137
14603,106,132
14615,0,415
14643,20,118
14683,200,17
14693,123,102
14760,232,330
14814,160,32
14839,356,382
14840,942,1412
14878,2791,175
14914,161,303
14942,355,266
14943,136,6
15199,124,84
15214,67,203
15223,4327,2249
15276,346,73
15278,0,1132
15310,723,110
15343,291,30
15360,232,20
15370,155,202
15371,327,70
15375,31,104
15387,167,49
15389,206,237
15393,595,336
15408,0,268
15415,102,83
15444,280,151
15451,140,377
15459,222,79
15465,110,78
15480,103,257
15481,127,95
15483,60,140
15484,253,179
15488,0,103
15489,27,101
15495,96,116
15498,243,189
15499,113,59
15506,192,133
15508,89,194
15513,223,108
15514,19,239
15516,324,388
15519,18,256
15525,5,115
15529,645,1022
15543,0,130
15557,111,117
15590,52,102
15603,1664,121
15628,113,168
15652,280,447
15667,10,120
15679,259,8
15755,1453,181
15758,38,3700
15760,13,116
15780,9,120
15829,272,2
15840,10,104
15844,13696,1368
15845,45969,12221
15848,125,133
15858,18,107
15877,80,125
15881,140,77
15924,267,110
15985,656,891
15986,240,182
15989,2049,594
15996,25,194
15997,42,128
15998,264,55
15999,88,254
16000,837,882
16082,119,247
16122,155,142
16132,663,205
16138,275,142
16182,474,340
16183,36,163
16211,102,130
16232,473,277
16234,44,201
16236,781,388
16237,336,124
16239,16,285
16244,230,296
16245,833,782
16246,138,137
16266,99,12328
16292,1837,0
16304,952,741
16305,392,319
16319,42,108
16320,1507,76
16341,4,370
16355,78,1166
16451,5,146
16483,446,39
16501,186,123
16503,6,161
16528,865,4320
16579,78,193
16587,519,448
16590,48,239
16594,463,983
16609,15682,4466
16614,6575,380
16626,205,314
16634,56,107
