number of unique repos user made adoption commit in (adopter),number of users
1,26936
2,7273
3,2984
4,1441
5,758
6,465
7,307
8,188
9,136
10,84
11,71
12,54
13,38
14,23
15,23
16,14
17,15
18,13
19,9
20,8
21,4
22,4
23,4
24,3
25,1
26,2
27,1
28,2
29,3
33,1
34,3
35,3
39,2
52,1
54,1
79,1
90,1
128,1
153,1
