user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
144,0,3
184,9,0
245,0,8
413,7,4
474,63,40
852,35,623
1223,1,0
1230,0,8
1279,110,0
1356,0,1
1441,409,0
1444,1,1
1640,54,0
1649,0,8
1731,4,0
1831,2,0
1869,18,0
1905,7,4
1933,1,0
1974,1,0
1993,0,4
2034,2,40
2069,8,2
2100,1,2
2176,1,16
2256,2,1
2286,0,2
2505,1932,11
2518,7,1
2816,0,6
2831,217,480
3011,20,227
3277,10,36
3296,4,0
3355,27,0
3419,10,1
3761,3,21
3878,27,384
3883,0,1
4109,2,22
4271,9,0
4336,59,0
4909,5,8
4911,0,93
4941,217,29
5009,6,0
5063,2,0
5262,39,256
5329,0,5
5349,24,6
5392,3,5
5395,1,0
5511,37,10
5606,0,5
5660,0,9
5968,0,19
6035,0,1
6157,3,2
6273,32150,9424
6426,3,0
6520,2,0
6557,1,0
6900,47,1
7037,2,0
7056,1,4
7151,0,1
7241,25,18
7277,1,38
7388,7,12
7433,2,35
7490,12,64
8012,2204,1801
8130,45,6
8171,4,62
8549,17,7
8601,8,108
8665,0,2
8666,23,2
8765,16,0
8842,27,131
9317,0,3
9428,2,23
9450,1,3
9571,1,0
9920,73,319
10081,4,31
10094,38,2
10314,5,6
10315,2,0
10451,7,0
10605,6,1
10702,1,6
10796,7,11
10966,277,7
11078,2,2
11086,0,4
11107,38509,35504
11265,14,71387
11392,1,9
11480,2,1
11482,24,52
12039,617,6
12091,6,34
12127,0,3
12170,1,0
12177,0,7
12409,142,12
12545,5,0
12606,3,0
12689,1,0
12776,1,0
12849,2,0
12938,0,8
13090,0,140
13121,4,2
13235,8,52
13263,11,7
13281,0,9
13521,810,11
13577,1,0
13600,20,29
13782,0,2
13840,13,20
13851,7,7
13900,1,0
14057,2,0
14189,94,42
14206,0,2
14235,4,0
14375,17,521
14494,2,10
14603,76,1
14654,4,2
14914,92,117
15038,50,435
15088,0,2
15338,2,0
15477,1,4
15490,0,46
15614,2,1
15871,0,45
16038,9,1
16412,5,0
16631,254,1
16899,0,8
17245,35,0
17257,75,0
17363,5,0
17372,5,1
17439,345,150
17651,6,1
17654,0,1
17669,2,0
17678,13,13
17718,2,67
17773,21,2
17837,233,1951
17852,0,2
18202,54,49
18268,0,17
18303,3,0
18356,2,2
18564,0,1
18576,110,3
18857,2,13
18867,2825,13
18923,13,0
19021,14,339
19068,5,0
