user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
5309,130,70
5311,2,0
5336,4,2
5359,0,5
5367,3,16
5385,0,1
5394,12,126
5395,1,0
5401,2,2
5416,24,0
5426,2,3
5431,12,0
5435,0,8
5450,10,0
5452,16,0
5456,12,6
5469,1,20
5475,1,0
5476,6,1
5479,2,37
5489,0,2
5493,3,5
5510,2,0
5519,311,49
5538,0,3
5547,4,12
5552,1,1
5557,0,1
5580,0,1
5594,0,12
5627,348,35
5632,9,0
5659,2,9
5663,0,5
5666,112,7
5671,0,1
5679,37,249
5713,0,9
5728,0,1
5729,0,1
5735,64,0
5749,5,0
5766,1212,0
5774,5816,9222
5775,8,4
5791,0,150
5794,2,57
5861,199,6
5862,174,756
5895,87,0
5902,1,7
5913,6,5
5961,50,15
5962,17,6
5966,9549,97722
5970,30,0
5972,0,11
5974,0,1
5989,44283,12437
6002,0,1
6006,34,0
6010,0,5
6011,76,1
6020,21,1
6074,6,2
6085,0,28
6087,120,226
6129,37,0
6131,0,2
6137,32,2
6139,1,0
6142,3,3
6153,119,1
6155,194,182
6160,8,0
6163,2,3
6186,0,1
6187,3,47
6205,0,173
6206,48,0
6216,26283,56189
6226,804,2941
6244,0,326
6246,7,16
6247,13,166
6250,41,0
6252,4,0
6255,5,0
6264,2066,13
6267,1,6
6268,1,63
6275,10,59
6277,918,15
6279,0,685
6280,5,7
6288,0,83
6290,274,286
6291,1,4
6297,19,40
6302,12,49
6303,1283,9
6321,530,6
6338,240,348
6340,1,0
6348,11,0
6383,4,0
6395,295,1
6397,3,419
6401,1,0
6417,1,1
6431,5112,403
6435,24153,58512
6447,0,84
6454,3,0
6483,5,0
6490,0,41
6491,126,33
6500,4,0
6509,0,30
6510,2379,487
6528,1,2
6548,2,0
6572,0,1
6583,4,3
6587,415,8
6601,24,2
6616,10,13
6619,42,1
6626,14,0
6636,238,0
6639,83,135
6642,158,93
6662,494,31
6668,26,147
6669,47,0
6676,2,2
6686,2,7
6692,3,46
6696,1,4
6721,65,208
6735,76,124
6744,13,0
6761,0,54
6795,68,71
6819,108,24
6822,9,0
6921,1,5
6947,0,17
6959,2,0
6963,2,4
6983,303,59
6985,0,9
7000,2,0
7005,1,0
7017,6,33
7039,0,1
7045,1,2
7054,12,0
7057,3,0
7064,17,819
7065,166,17
7068,201,12
7071,80,3
7073,76,840
7087,444,19
7093,80,5
7110,289,13
7124,159,117
7135,94,0
7136,54,132
7141,45,0
7142,3,0
7192,17,5
7208,0,2
7229,29,7
7230,0,1
7238,10,0
7241,25,18
7246,0,3
7255,4,0
7292,144,304
7299,142,3
7320,3,66
7332,9,0
7340,0,5
7344,0,1
7351,72,6
7385,0,8
7404,2,0
7408,9,127
7430,78,0
7472,12,0
7482,0,74
7486,35,9
7490,12,64
7492,84,64
7497,21,21
7499,0,165
7506,148,307
7509,0,1
7521,37,4
7534,3,8
7539,16,2
7572,4,2
7581,3,0
7610,165,42
7639,1,0
7663,23,2
7680,94,7
7683,4,12
7712,0,25
7720,61,0
7760,259,1499
7775,0,1
7780,15,30
7804,1,1
7814,3,17
7843,4,173
7844,5,20
7845,4,42
7862,1,0
7872,8,14
7874,15,4
7900,3,0
7965,8,0
7971,14,89
7982,2,2
7993,50,70
7999,91,4
8013,490,406
8014,177,32
