repo,promoter,adopter,adoption delay (seconds),library,promoter commit id,adoption commit id,promoter commit time (UTC),adoption commit time (UTC)
tensor__robdefeo,54785,22973,1005084,tensorflow,22502781,22593414
tensor__robdefeo,54785,22973,947378,tensorflow,22508118,22593414
tensor__robdefeo,54785,22973,925198,tensorflow,22511493,22593414
tensor__robdefeo,54785,22973,688141,tensorflow,22528521,22593414
tensor__robdefeo,54785,22973,925198,tensorflow.python.platform,22511493,22593414
tensor__robdefeo,54785,22973,688141,tensorflow.python.platform,22528521,22593414
MLTensor__NumesSanguis,7973,7972,1120374,tensorflow,22508984,22614932
MLTensor__NumesSanguis,7973,7972,3608,tensorflow,22614332,22614932
tf_seq2seq_chatbot__nicolas-ivanov,79260,121733,656056,tensorflow,22648799,22721202
MLTensor__NumesSanguis,7972,7971,79185,tensorflow,22743906,22751872
TensorBox__Russell91,15252,15237,105759,tensorflow,23053161,23061448
skflow__tensorflow,3062,79578,8942997,tensorflow,22433294,23326995
skflow__tensorflow,3062,79578,8854571,tensorflow,22443952,23326995
skflow__tensorflow,3062,79578,8423091,tensorflow,22485092,23326995
skflow__tensorflow,3062,79578,8339464,tensorflow,22495459,23326995
skflow__tensorflow,3062,79578,8258756,tensorflow,22505351,23326995
skflow__tensorflow,3062,79578,8243112,tensorflow,22506430,23326995
skflow__tensorflow,3062,79578,7821311,tensorflow,22544619,23326995
skflow__tensorflow,3062,79578,7813641,tensorflow,22545156,23326995
skflow__tensorflow,3062,79578,7804454,tensorflow,22545720,23326995
skflow__tensorflow,55505,79578,6865380,tensorflow,22637703,23326995
skflow__tensorflow,55505,79578,6865076,tensorflow,22637723,23326995
skflow__tensorflow,3062,79578,6683007,tensorflow,22654689,23326995
skflow__tensorflow,3062,79578,6180519,tensorflow,22709590,23326995
skflow__tensorflow,3062,79578,6176497,tensorflow,22709888,23326995
skflow__tensorflow,55505,79578,6096911,tensorflow,22720079,23326995
skflow__tensorflow,3062,79578,5868098,tensorflow,22745483,23326995
skflow__tensorflow,3062,79578,5765191,tensorflow,22756256,23326995
skflow__tensorflow,3062,79578,5748750,tensorflow,22757566,23326995
skflow__tensorflow,3062,79578,5574230,tensorflow,22768959,23326995
